"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.272281200E-2,-2.837289333E0,-1.673211098E1,-5.967699528E0
6.243739600E-2,-2.212463617E0,-1.491745472E1,-4.124329090E0
7.215109400E-2,-1.274178028E0,-1.373240948E1,-2.247458696E0
8.186411500E-2,-3.547359705E-1,-1.246361542E1,-7.797610760E-1
9.157786500E-2,5.168496966E-1,-1.117777157E1,3.095714152E-1
1.012925000E-1,1.242174029E0,-9.760622978E0,5.416752100E-1
1.110062500E-1,1.656431437E0,-8.072785378E0,-1.022931710E-1
1.207192190E-1,1.819143414E0,-5.961119175E0,-1.117448211E0
1.304330730E-1,1.898106575E0,-3.801596880E0,-2.316850424E0
1.401476560E-1,1.634896040E0,-1.701895118E0,-3.549752474E0
1.498613540E-1,1.474277854E0,-2.362912335E-2,-4.634299278E0
1.595743750E-1,1.941177368E0,1.324128270E0,-5.666203976E0
1.692881250E-1,2.432005167E0,2.305783749E0,-5.886343479E0
1.790027600E-1,2.312364101E0,3.131606579E0,-5.086842060E0
1.887164580E-1,1.591825247E0,3.385545015E0,-3.537788391E0
1.984294790E-1,7.058826685E-1,3.076571703E0,-2.230708838E0
2.081432290E-1,-2.997010350E-1,2.585743904E0,-1.105484009E0
2.178578650E-1,-1.175773263E0,2.123630047E0,-5.811567903E-1
2.275716150E-1,-2.255534410E0,1.381555915E0,-5.691927075E-1
2.372845830E-1,-2.569293261E0,4.262215197E-1,-7.701897621E-1
2.469984370E-1,-1.613958836E0,7.208377868E-2,-1.672882080E0
2.567129690E-1,-2.518445849E-1,-4.354937077E-1,-3.511467218E0
2.664267190E-1,1.426421404E0,-9.741778970E-1,-5.311767101E0
2.761396870E-1,2.827120066E0,-1.232901812E0,-5.680561066E0
2.858535420E-1,3.267698526E0,-1.350150228E0,-4.328018188E0
2.955681250E-1,3.128615618E0,-1.723430514E0,-1.792523265E0
3.052818230E-1,2.750549555E0,-2.321935177E0,1.449153185E0
3.149948440E-1,1.907677889E0,-2.295614243E0,5.157430172E0
3.247085940E-1,1.146461129E0,-1.819442511E0,7.917850018E0
3.344232290E-1,6.556333899E-1,-1.390828133E0,9.078967094E0
3.441369270E-1,4.618147612E-1,-7.181459069E-1,8.439785004E0
3.538499480E-1,-5.102694035E-1,3.257229924E-1,5.629115105E0
3.635636980E-1,-2.552543640E0,1.659422517E0,5.751747489E-1
3.732783330E-1,-4.185346127E0,2.736790895E0,-4.835296154E0
3.829920830E-1,-4.266701698E0,2.676671267E0,-6.872784615E0
3.927050520E-1,-2.969193697E0,8.428717852E-1,-5.682953835E0
4.024189060E-1,-1.087238789E0,-1.852941990E0,-4.505086899E0
4.121334370E-1,3.251247704E-1,-4.004986763E0,-5.311767101E0
4.218471870E-1,3.035893738E-1,-5.405685425E0,-6.628716946E0
4.315601560E-1,-1.968395710E0,-7.589136124E0,-7.025925636E0
4.412740100E-1,-6.392724991E0,-1.290389442E1,-1.048804092E1
4.509885940E-1,-9.866504669E0,-1.917907143E1,-7.813762188E0
4.607022920E-1,-1.154955673E1,-2.637787819E1,-3.733999729E0
4.704153120E-1,-7.443772316E0,-2.929652405E1,-4.062115669E0
4.801290620E-1,-2.111965179E0,-2.892773056E1,-3.628715515E0
4.898436980E-1,-8.910273314E-1,-3.410370636E1,-4.416552544E0
4.995573960E-1,2.223829508E0,-3.831746674E1,-8.421838760E0
5.092704170E-1,6.133402824E0,-3.692633820E1,-1.173529911E1
5.189841670E-1,5.455635548E0,-3.436960602E1,-9.444171906E0
5.286988020E-1,1.984248161E0,-3.250201035E1,-4.404588223E0
5.384125520E-1,-1.609173179E0,-3.023002434E1,-2.419741869E0
5.481255210E-1,-4.829314232E0,-2.722553635E1,-4.591228485E0
5.578393750E-1,-7.656733513E0,-2.460150719E1,-8.728119850E0
5.675539060E-1,-9.320642471E0,-2.239412880E1,-1.164915752E1
5.772676560E-1,-9.212965012E0,-2.018914223E1,-1.175922775E1
5.869806250E-1,-7.888837337E0,-1.834337807E1,-1.034417248E1
5.966944790E-1,-6.284748554E0,-1.727558136E1,-8.314161301E0
6.064090620E-1,-4.328915119E0,-1.621974754E1,-5.934200287E0
6.161227600E-1,-2.324926376E0,-1.422323704E1,-3.518645763E0
6.258357810E-1,-5.150550604E-1,-1.187228870E1,-1.296909928E0
6.355495310E-1,5.886343718E-1,-1.044048309E1,1.417747438E-1
6.452641670E-1,1.290030479E0,-8.822037697E0,6.158527136E-1
6.549778650E-1,1.601396561E0,-6.224329948E0,2.377867550E-1
6.646908850E-1,1.474277854E0,-3.959523201E0,-7.677969933E-1
6.744046350E-1,8.135597110E-1,-2.144866467E0,-2.111067772E0
6.841192710E-1,-1.585244983E-1,-3.708875179E-1,-3.159423113E0
6.938330210E-1,-6.825526357E-1,1.161416292E0,-3.451646566E0
7.035459900E-1,-5.222335458E-1,2.545065880E0,-3.097209692E0
7.132598440E-1,-1.752742529E-1,3.445365429E0,-2.630609512E0
7.229743750E-1,1.935195327E-1,3.677469254E0,-1.940878272E0
7.326881250E-1,3.299104273E-1,3.710968733E0,-1.155733347E0
7.424010940E-1,2.006980032E-1,3.344866991E0,-6.290132403E-1
7.521149480E-1,-3.379862010E-2,2.537887573E0,-2.386840582E-1
7.618295310E-1,-7.857431173E-1,1.135095239E0,5.249254704E-1
7.715432290E-1,-1.056132078E0,2.300100774E-1,9.918249846E-1
7.812562500E-1,-9.077770710E-1,-3.320041299E-2,3.909274042E-1
7.909700000E-1,-5.150550604E-1,-1.938186288E-1,-1.036092162E0
8.006846350E-1,3.320041299E-2,-3.038884699E-1,-2.209173441E0
8.103983850E-1,4.689932466E-1,-3.661018610E-1,-2.501097918E0
8.201113540E-1,8.063812256E-1,-5.910272002E-1,-1.809273005E0
8.298252080E-1,1.091426253E0,-9.000003934E-1,-6.984050870E-1
8.395397920E-1,1.134497046E0,-1.182353497E0,2.521436810E-1
8.492534900E-1,1.141675472E0,-1.374078393E0,8.123632669E-1
8.589665100E-1,1.036391258E0,-1.534397483E0,8.985049129E-1
8.686802600E-1,7.250252366E-1,-1.512862086E0,7.450651526E-1
8.783948960E-1,4.594219327E-1,-1.426720500E0,3.526422381E-1
8.881086460E-1,3.035893738E-1,-1.254437327E0,-2.093719877E-2
8.978216150E-1,7.387840003E-2,-9.933205247E-1,-4.064807594E-1
9.075354690E-1,-1.728814393E-1,-6.822535396E-1,-9.834501147E-1
9.172500000E-1,-4.097708762E-1,-3.349951804E-1,-1.560419440E0
9.269637500E-1,-5.964110494E-1,-4.516452923E-2,-1.761416554E0
9.366767710E-1,-6.777670383E-1,1.079761237E-1,-1.165304661E0
9.463905210E-1,-6.996015310E-1,4.097708687E-2,-5.787639618E-1
9.561051560E-1,-1.094417214E0,-9.263214469E-1,-1.373480201E0
9.658189060E-1,-1.601994753E0,-2.475374937E0,-2.594418049E0
9.755318750E-1,-1.877468467E0,-3.547957659E0,-4.304089546E0
9.852457290E-1,-1.877468467E0,-4.953142643E0,-4.799404144E0
9.949603120E-1,-1.460818172E0,-9.023035049E0,-7.828119278E0
1.004674062E0,-2.619542599E0,-1.541546059E1,-1.524257946E1
1.014387031E0,-2.100000858E0,-2.143909264E1,-1.575494289E1
1.024100885E0,-3.177369356E0,-2.532443810E1,-1.293230915E1
1.033815469E0,-5.401497841E0,-3.015345383E1,-1.176162052E1
1.043529167E0,-7.477271557E0,-3.344059372E1,-4.399802685E0
1.053242187E0,-6.251249313E0,-3.603112411E1,-4.141078472E0
1.062956042E0,-1.930110574E0,-3.368227005E1,-6.717251301E0
1.072670573E0,1.481456280E0,-3.083092117E1,-6.456134796E0
1.082384323E0,2.022533417E0,-2.903540802E1,-9.257232547E-1
1.092097344E0,7.944171429E-1,-2.829811859E1,-1.067198873E0
1.101811198E0,-2.459223509E0,-2.523351097E1,-4.900201797E0
1.111525729E0,-5.827719688E0,-2.411307144E1,-5.201697350E0
1.121239479E0,-7.110870838E0,-2.341885376E1,-4.912165642E0
1.130952500E0,-6.972086906E0,-2.202084732E1,-5.239982605E0
1.140666250E0,-6.279963017E0,-2.096022987E1,-5.812166214E0
1.150380885E0,-3.998406649E0,-2.084776688E1,-6.722036839E0
1.160094635E0,-1.223629713E0,-2.083789635E1,-6.810571671E0
1.169807656E0,7.298108935E-1,-1.958824348E1,-6.190531254E0
1.179521406E0,1.498206019E0,-1.748405647E1,-4.856831551E0
1.189236042E0,1.613360643E0,-1.529581928E1,-2.721536636E0
1.198949792E0,1.136889815E0,-1.302144146E1,-1.253839016E0
1.208662812E0,2.844468057E-1,-1.103420258E1,-1.038485050E0
1.218376667E0,-4.432703853E-1,-9.217152596E0,-1.529312730E0
1.228091198E0,-1.039382339E0,-7.284948349E0,-2.139781713E0
1.237804948E0,-1.077667475E0,-5.489434242E0,-2.893819809E0
1.247517969E0,-8.288139701E-1,-3.571886063E0,-3.830011845E0
1.257231823E0,-5.006981492E-1,-1.654038668E0,-4.682155609E0
1.266946354E0,9.272187948E-3,-3.708875179E-1,-5.211268425E0
1.276660104E0,8.853443861E-1,4.070789516E-1,-5.266303539E0
1.286373125E0,1.721037745E0,1.240379453E0,-4.830510616E0
1.296086979E0,1.902892232E0,2.408675194E0,-3.542573929E0
1.305801562E0,1.534098387E0,3.263211966E0,-1.909771562E0
1.315515260E0,6.053841114E-1,3.452543974E0,-7.582256794E-1
1.325228281E0,-9.005986452E-1,3.160320520E0,-1.477568001E-1
1.334942135E0,-2.353640079E0,2.918645382E0,1.680957973E-1
1.344656719E0,-3.426223040E0,1.450947881E0,2.617149651E-1
1.354370469E0,-2.858824968E0,2.754737139E-1,3.239283562E-1
1.364083437E0,-1.836790442E0,-2.321037948E-1,-1.860419661E-1
1.373797292E0,-7.833502889E-1,-4.211367965E-1,-1.625025630E0
1.383511875E0,5.048855543E-1,-4.043870270E-1,-3.487539053E0
1.393225625E0,1.208674550E0,1.917249113E-1,-4.605585575E0
1.402938646E0,1.215852976E0,2.539383173E-1,-4.354339123E0
1.412652500E0,1.062712312E0,-9.023932219E-1,-3.501895905E0
1.422367083E0,1.172782183E0,-1.570289850E0,-1.749452472E0
1.432080781E0,1.215852976E0,-1.644467354E0,-4.007977992E-2
1.441793802E0,1.352243900E0,-1.572682738E0,1.039681435E0
1.451507656E0,1.524527073E0,-1.414756417E0,1.628614902E0
1.461222240E0,1.438385487E0,-1.201795220E0,2.006979942E0
1.470935990E0,1.141675472E0,-8.976075649E-1,2.167299032E0
1.480649010E0,8.566305041E-1,-7.109674215E-1,2.073979139E0
1.490362865E0,6.723831892E-1,-5.982056856E-1,1.499402523E0
1.500077448E0,3.634099364E-1,-4.761717021E-1,4.914259613E-1
1.509791146E0,-1.872383654E-1,-4.713860750E-1,-5.213362575E-1
1.519504167E0,-6.681957245E-1,-7.660023570E-1,-1.332802176E0
1.529218021E0,-8.718847632E-1,-1.266401410E0,-2.288136721E0
1.538932604E0,-1.096810102E0,-2.027618170E0,-3.051746130E0
1.548646354E0,-1.678565025E0,-3.140878916E0,-3.528217077E0
1.558359375E0,-2.684148788E0,-4.565206528E0,-3.269792080E0
1.568073229E0,-4.517948151E0,-6.640980244E0,-4.126721859E0
1.577787812E0,-7.216155052E0,-1.140060329E1,-8.783154488E0
1.587501562E0,-7.434200764E0,-1.835534286E1,-1.535025597E1
1.597214531E0,-4.173381805E0,-2.394557381E1,-1.143589783E1
1.606928385E0,-1.058524966E0,-2.695006180E1,-7.777870178E0
1.616642969E0,2.063211441E0,-2.804417992E1,-1.266879940E1
1.626356719E0,1.761715651E0,-2.686152840E1,-1.136172009E1
1.636069740E0,-7.187440991E-1,-2.854218674E1,-5.953342915E0
1.645783594E0,-2.853440940E-1,-3.160440063E1,-3.113959551E0
1.655498177E0,1.265204996E-1,-3.263391495E1,-4.397409916E0
1.665211927E0,3.083750308E-1,-3.082613564E1,-9.135198593E0
1.674924948E0,-5.198407173E-1,-2.641137886E1,-1.250369453E1
1.684638802E0,-3.206083298E0,-2.478366089E1,-1.066510963E1
1.694353385E0,-4.791028976E0,-2.343799782E1,-7.595716476E0
1.704067135E0,-6.093322754E0,-2.179083824E1,-5.999105453E0
1.713780156E0,-6.840182781E0,-1.946860313E1,-5.134698391E0
1.723494010E0,-7.091728210E0,-1.758694649E1,-5.434100151E0
