"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.530631410E-1,-7.426375747E-1,2.018850148E-1,9.333745837E-1
1.627764750E-1,-1.082268596E0,1.847812980E-1,9.333745837E-1
1.724905370E-1,-1.841093659E0,2.593046725E-1,7.611156702E-1
1.822037660E-1,-1.990140319E0,5.647283196E-1,5.583143830E-1
1.919162140E-1,-1.365854502E0,6.783458591E-1,3.139754832E-1
2.016295480E-1,-9.845330715E-1,5.219689608E-1,-1.099525094E-1
2.113436100E-1,-1.106702566E0,4.523324072E-1,-5.118899941E-1
2.210568390E-1,-1.067608237E0,3.741439581E-1,-6.328377724E-1
2.307693390E-1,-6.265766025E-1,3.973561525E-1,-4.251496792E-1
2.404826730E-1,-9.147437662E-2,3.472666740E-1,-1.429382563E-1
2.501967350E-1,2.420482337E-1,-2.290677279E-2,7.574506104E-2
2.599099640E-1,4.289674759E-1,-4.297310412E-1,2.712161839E-1
2.696224120E-1,6.513158679E-1,-6.093201637E-1,4.618005157E-1
2.793357450E-1,9.188669920E-1,-6.178719997E-1,5.680879354E-1
2.890498600E-1,1.154654026E0,-4.602734149E-1,5.412106514E-1
2.987630370E-1,1.359898686E0,-2.086043358E-1,4.019374847E-1
3.084755370E-1,1.549261332E0,2.351761982E-2,1.979145110E-1
3.181888700E-1,1.708081603E0,1.750077456E-1,1.588202827E-2
3.279029330E-1,1.804595470E0,2.092151791E-1,-1.014006436E-1
3.376161620E-1,1.788713455E0,1.017060652E-1,-1.673721522E-1
3.473286620E-1,1.694643021E0,-5.344913527E-2,-2.186833173E-1
3.570419950E-1,1.603015900E0,-1.890572309E-1,-2.809897363E-1
3.667560580E-1,1.548039675E0,-2.867927849E-1,-3.384093940E-1
3.764692870E-1,1.516275644E0,-3.100049794E-1,-3.603998721E-1
3.861817350E-1,1.416096687E0,-2.757975459E-1,-3.603998721E-1
3.958950680E-1,1.166870952E0,-2.892361879E-1,-3.970507085E-1
4.056091310E-1,7.747070193E-1,-2.403683960E-1,-4.593571424E-1
4.153223600E-1,3.935383558E-1,1.041494608E-1,-4.581354558E-1
4.250348600E-1,2.163926363E-1,6.270347238E-1,-3.518480062E-1
4.347481930E-1,2.249445021E-1,9.678874612E-1,-1.624853760E-1
4.444622560E-1,2.420482337E-1,8.200624585E-1,9.529217333E-2
4.541754850E-1,1.296523362E-1,3.045073450E-1,3.836120665E-1
4.638879850E-1,-7.070557028E-2,-1.902789176E-1,5.803049207E-1
4.736013180E-1,-2.515163720E-1,-5.445703268E-1,6.291726828E-1
4.833153810E-1,-3.541387022E-1,-7.241594195E-1,5.522059202E-1
