"Time (s)",Acceleration x (m/s^2),"Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.502668900E-2,1.025922745E-1,-5.431707501E-1,-9.910772324E0
6.474075100E-2,9.541380405E-2,-5.383850932E-1,-9.954142570E0
7.445398000E-2,6.191428751E-2,-5.192425251E-1,-9.978070259E0
8.416648000E-2,6.669992954E-2,-4.977070987E-1,-9.903594017E0
9.387981400E-2,2.123630047E-2,-4.929214716E-1,-9.970891953E0
1.035938760E-1,-7.477570791E-3,-5.000999570E-1,-1.002831936E1
1.133070530E-1,-1.944168471E-2,-5.120640397E-1,-9.822237968E0
1.230195530E-1,-5.054837838E-2,-5.240281820E-1,-9.800702095E0
1.327328870E-1,-2.422732860E-2,-5.670989752E-1,-1.014078236E1
1.424469490E-1,4.516452923E-2,-5.718846321E-1,-1.010728264E1
1.521601780E-1,8.823533356E-2,-5.407779217E-1,-9.824630737E0
1.618726780E-1,8.823533356E-2,-4.977070987E-1,-9.877272606E0
1.715860120E-1,6.909275055E-2,-4.953143001E-1,-9.944570541E0
1.813000740E-1,5.234299600E-2,-4.642075896E-1,-9.709774971E0
1.910133030E-1,1.405783277E-2,-4.642075896E-1,-9.707382202E0
2.007258030E-1,1.884347759E-2,-4.881358147E-1,-1.008096218E1
2.104390330E-1,6.191428751E-2,-5.192425251E-1,-1.015753174E1
2.201531470E-1,7.866404206E-2,-5.096712112E-1,-1.002831936E1
2.298663760E-1,6.669992954E-2,-5.000999570E-1,-1.005703354E1
2.395788760E-1,7.627122104E-2,-4.929214716E-1,-1.000678444E1
2.492922100E-1,1.073779166E-1,-4.881358147E-1,-9.693025589E0
2.590062720E-1,9.541380405E-2,-4.929214716E-1,-9.673882484E0
2.687195010E-1,1.025922745E-1,-5.455635786E-1,-9.999606133E0
2.784320010E-1,1.145563871E-1,-5.623133183E-1,-1.005224800E1
2.881453350E-1,1.265204996E-1,-5.718846321E-1,-9.954142570E0
2.978593970E-1,8.344969153E-2,-5.790630579E-1,-1.013121128E1
3.075726260E-1,4.037888348E-2,-5.455635786E-1,-1.020060253E1
3.172851260E-1,1.884347759E-2,-4.809573591E-1,-9.886843681E0
3.269984600E-1,-2.991028305E-4,-4.283152521E-1,-9.704989433E0
3.367125220E-1,-5.084747914E-3,-4.163511395E-1,-9.846165657E0
3.464257510E-1,5.952146277E-2,-4.331009090E-1,-9.829416275E0
3.561381990E-1,7.866404206E-2,-4.570291340E-1,-9.781559944E0
3.658515330E-1,8.344969153E-2,-5.072783828E-1,-1.002831936E1
3.755655950E-1,9.302098304E-2,-5.647061467E-1,-1.016231823E1
