"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.891053100E-2,5.359922647E-1,-5.599204898E-1,-9.896415710E0
5.862402100E-2,5.168496966E-1,-5.862415433E-1,-9.843772888E0
6.833829200E-2,5.264210105E-1,-5.982056856E-1,-9.855737686E0
7.805167700E-2,5.072783828E-1,-5.647061467E-1,-9.831809044E0
8.776438500E-2,5.431707501E-1,-5.383850932E-1,-9.831809044E0
9.747787500E-2,5.742774606E-1,-5.312066078E-1,-9.812666893E0
1.071921460E-1,6.364908218E-1,-5.335994363E-1,-9.858130455E0
1.169055830E-1,6.508477330E-1,-5.216353536E-1,-9.932606697E0
1.266182400E-1,6.197410822E-1,-5.240281820E-1,-9.961320877E0
1.363317810E-1,5.575276613E-1,-5.455635786E-1,-9.930213928E0
1.460460000E-1,5.144568682E-1,-5.455635786E-1,-9.898808479E0
1.557594380E-1,5.288137794E-1,-5.359922647E-1,-9.898808479E0
1.654720940E-1,5.982056856E-1,-5.312066078E-1,-9.848558426E0
1.751856350E-1,6.364908218E-1,-5.407779217E-1,-9.788738251E0
1.848999060E-1,6.532405615E-1,-5.455635786E-1,-9.819845200E0
1.946132920E-1,6.412764788E-1,-5.168496966E-1,-9.903594017E0
2.043260000E-1,6.077769399E-1,-5.096712112E-1,-9.901201248E0
2.140394380E-1,6.125625968E-1,-5.048855543E-1,-9.858130455E0
2.237537600E-1,6.173482537E-1,-5.312066078E-1,-9.853344917E0
2.334671460E-1,6.436693072E-1,-5.623133183E-1,-9.628418922E0
2.431798540E-1,6.771687865E-1,-5.862415433E-1,-9.838987350E0
2.528932920E-1,6.867401004E-1,-5.982056856E-1,-1.010728264E1
2.626076150E-1,5.958128572E-1,-5.599204898E-1,-1.000199890E1
2.723210520E-1,5.192425251E-1,-4.929214716E-1,-9.946963310E0
2.820337080E-1,5.335994363E-1,-4.689932466E-1,-1.008814049E1
2.917471460E-1,5.934200287E-1,-4.474578202E-1,-9.915857315E0
3.014614690E-1,6.293123364E-1,-4.402793646E-1,-9.671489716E0
3.111749060E-1,6.077769399E-1,-4.498506486E-1,-9.824630737E0
3.208875630E-1,6.053841114E-1,-5.024927258E-1,-9.961320877E0
3.306011040E-1,5.814558864E-1,-5.551348329E-1,-9.803094864E0
3.403153230E-1,5.335994363E-1,-5.766702294E-1,-9.841380119E0
3.500287600E-1,5.407779217E-1,-5.934200287E-1,-1.005942631E1
3.597414170E-1,6.101697683E-1,-6.173482537E-1,-9.874879837E0
3.694549580E-1,6.436693072E-1,-5.838487148E-1,-9.709774971E0
