"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.606620940E-1,-8.551862091E-3,3.054236295E-3,3.206948051E-3
1.703756350E-1,-3.665083554E-3,1.160609815E-2,4.428642802E-3
1.800899060E-1,3.665083554E-3,1.038440317E-2,3.206948051E-3
1.898032920E-1,7.330167107E-3,4.275931045E-3,1.985253533E-3
1.995160000E-1,3.665083554E-3,3.054236295E-3,3.206948051E-3
2.092294380E-1,-2.443389036E-3,9.162709117E-3,4.428642802E-3
2.189437600E-1,-6.108472589E-3,1.038440317E-2,5.650337320E-3
2.286571460E-1,-0.000000000E0,6.108472589E-4,3.206948051E-3
2.383698540E-1,7.330167107E-3,-1.160609815E-2,1.985253533E-3
2.480832920E-1,1.099525020E-2,-1.038440317E-2,-2.901524538E-3
2.577976150E-1,6.108472589E-3,-6.108472589E-4,-7.788302377E-3
2.675110520E-1,-6.108472589E-3,-1.832541777E-3,-6.566607859E-3
2.772237080E-1,-1.221694518E-2,-6.719320081E-3,-2.901524538E-3
2.869371460E-1,-1.099525020E-2,-3.054236295E-3,-1.679830020E-3
2.966514690E-1,-6.108472589E-3,1.832541777E-3,-2.901524538E-3
3.063649060E-1,-3.665083554E-3,-4.275931045E-3,-5.344913341E-3
3.160775630E-1,-3.665083554E-3,-1.038440317E-2,-5.344913341E-3
3.257911040E-1,-2.443389036E-3,-5.497625098E-3,-4.123218823E-3
3.355053230E-1,-2.443389036E-3,-6.719320081E-3,-1.679830020E-3
3.452187600E-1,-4.886778072E-3,-7.941014133E-3,7.635590737E-4
3.549314170E-1,2.443389036E-3,1.832541777E-3,1.985253533E-3
3.646449580E-1,1.221694518E-2,1.282779220E-2,-1.679830020E-3
3.743591770E-1,1.832541823E-2,1.771457121E-2,-9.009997360E-3
3.840726150E-1,7.330167107E-3,9.162709117E-3,-1.023169141E-2
3.937852710E-1,-4.886778072E-3,-1.832541777E-3,-4.123218823E-3
4.034988130E-1,-1.221694518E-2,-4.275931045E-3,-1.679830020E-3
4.132130310E-1,-1.099525020E-2,6.108472589E-4,-2.901524538E-3
4.229264690E-1,-6.108472589E-3,-6.719320081E-3,-4.581354442E-4
4.326391250E-1,3.665083554E-3,-6.108472589E-4,4.428642802E-3
4.423526670E-1,6.108472589E-3,1.038440317E-2,4.428642802E-3
4.520668850E-1,2.443389036E-3,1.649287529E-2,1.985253533E-3
4.617803230E-1,-7.330167107E-3,7.941014133E-3,3.206948051E-3
4.714929790E-1,-1.221694518E-2,-6.108472589E-4,5.650337320E-3
4.812065210E-1,-6.108472589E-3,-6.719320081E-3,4.428642802E-3
4.909207400E-1,1.221694518E-3,-9.162709117E-3,1.985253533E-3
5.006341770E-1,6.108472589E-3,3.054236295E-3,-2.901524538E-3
5.103468330E-1,6.108472589E-3,2.015795931E-2,-5.344913341E-3
5.200603750E-1,1.221694518E-3,2.748812735E-2,-6.566607859E-3
5.297745940E-1,-4.886778072E-3,1.771457121E-2,-5.344913341E-3
5.394880310E-1,-8.551862091E-3,-1.832541777E-3,7.635590737E-4
5.492006880E-1,-1.221694518E-3,-1.282779220E-2,4.428642802E-3
5.589141250E-1,4.886778072E-3,-1.282779220E-2,4.428642802E-3
5.686284480E-1,3.665083554E-3,-6.108472589E-4,7.635590737E-4
5.783418850E-1,-4.886778072E-3,1.649287529E-2,-4.123218823E-3
5.880545420E-1,-1.343864016E-2,1.771457121E-2,-4.123218823E-3
5.977679790E-1,-1.588202827E-2,1.038440317E-2,-1.679830020E-3
6.074823020E-1,-1.221694518E-2,1.832541777E-3,-4.581354442E-4
6.171956880E-1,-6.108472589E-3,-1.038440317E-2,1.985253533E-3
6.269083960E-1,-7.330167107E-3,-2.015795931E-2,4.428642802E-3
6.366218330E-1,-8.551862091E-3,-7.941014133E-3,3.206948051E-3
6.463361560E-1,-8.551862091E-3,3.054236295E-3,-2.901524538E-3
6.560495420E-1,-7.330167107E-3,-6.108472589E-4,-6.566607859E-3
6.657622500E-1,-6.108472589E-3,-1.038440317E-2,-1.679830020E-3
6.754756880E-1,-6.108472589E-3,-1.771457121E-2,5.650337320E-3
6.851900100E-1,-9.773556143E-3,-2.015795931E-2,9.315420873E-3
6.949033960E-1,-8.551862091E-3,-1.404948719E-2,9.315420873E-3
7.046161040E-1,2.443389036E-3,-1.038440317E-2,1.985253533E-3
7.143295420E-1,1.343864016E-2,-2.015795931E-2,-9.009997360E-3
7.240438650E-1,1.588202827E-2,-3.115320951E-2,-1.511846948E-2
7.337572500E-1,8.551862091E-3,-2.870982140E-2,-1.511846948E-2
7.434699580E-1,-0.000000000E0,-6.719320081E-3,-1.267508045E-2
7.531833960E-1,-2.443389036E-3,1.038440317E-2,-1.389677543E-2
7.628977190E-1,-2.443389036E-3,3.054236295E-3,-1.145338640E-2
7.726111040E-1,1.221694518E-3,-7.941014133E-3,-6.566607859E-3
7.823238130E-1,1.221694518E-3,-4.275931045E-3,-4.123218823E-3
7.920372500E-1,-1.221694518E-3,5.497625098E-3,-2.901524538E-3
8.017515730E-1,-6.108472589E-3,5.497625098E-3,-2.901524538E-3
8.114649580E-1,-7.330167107E-3,9.162709117E-3,-4.581354442E-4
8.211776150E-1,-4.886778072E-3,2.015795931E-2,7.635590737E-4
