"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.889021700E-2,2.824727058E0,-9.080761909E0,-1.022453117E1
5.860438300E-2,3.741477251E0,-7.778169155E0,-9.475278854E0
6.831693500E-2,4.292125702E0,-6.847062111E0,-7.607680321E0
7.803037300E-2,4.519742966E0,-6.150152206E0,-4.952843666E0
8.774365400E-2,3.617050648E0,-5.283651352E0,-6.026921868E-1
9.745709200E-2,1.385743380E0,-4.029214382E0,2.945265532E0
1.071712580E-1,-1.271785259E0,-2.681157827E0,4.341178417E0
1.168845920E-1,-3.342474222E0,-1.053141117E0,2.243869543E0
1.265971440E-1,-4.242773533E0,-2.177468538E-1,-2.123630047E-1
1.363105810E-1,-4.170989037E0,-1.033998489E0,-6.361917257E-1
1.460247480E-1,-4.350450516E0,-3.799204111E0,-1.558026671E0
1.557380290E-1,-4.508377075E0,-7.984251022E0,-2.412563324E0
1.654506330E-1,-5.269892693E0,-1.180499077E1,-3.300898790E0
1.751640710E-1,-5.949753284E0,-1.616232109E1,-3.650250912E0
1.848781850E-1,-4.192524433E0,-1.997139549E1,-2.623430967E0
1.945915190E-1,-1.467996716E0,-2.222902298E1,-2.268994093E0
2.043041230E-1,2.700898647E-1,-2.177887344E1,-3.365504980E0
2.140174560E-1,3.993022740E-1,-1.991875267E1,-4.136292934E0
2.237316750E-1,-9.436694384E-1,-1.836730576E1,-6.032605171E0
2.334450080E-1,-2.839682341E0,-1.778076553E1,-6.286244392E0
2.431576130E-1,-4.752744198E0,-1.804666901E1,-3.944867134E0
2.528709460E-1,-6.361618042E0,-1.830748558E1,-1.261017561E0
2.625851650E-1,-5.784648895E0,-1.782383728E1,-2.697907388E-1
2.722984980E-1,-2.947658300E0,-1.663161278E1,-2.171486616E-1
2.820110500E-1,-1.293320656E0,-1.501077461E1,-1.381855011E-1
2.917244880E-1,-6.514459848E-1,-1.314108276E1,5.982056609E-4
3.014386540E-1,-5.413761139E-1,-1.122562790E1,-2.572284266E-2
3.111519880E-1,-8.335995674E-1,-9.064012527E0,5.129613280E-1
3.208645400E-1,-1.520638824E0,-7.071987152E0,7.331010103E-1
3.305779770E-1,-2.399402857E0,-5.601896763E0,4.794618487E-1
3.402921440E-1,-3.356831074E0,-4.455136776E0,2.617149651E-1
3.500054250E-1,-4.065704823E0,-3.734597921E0,-7.462615371E-1
3.597180290E-1,-4.391128540E0,-3.308376312E0,-1.799701691E0
3.694313630E-1,-3.785445452E0,-3.138485909E0,-3.154637575E0
3.791455810E-1,-2.624328136E0,-2.951845884E0,-3.808476448E0
3.888589150E-1,-8.934201598E-1,-3.014059305E0,-2.972783089E0
3.985715190E-1,1.024427176E0,-3.315554857E0,-1.411765337E0
4.082848520E-1,2.319542408E0,-3.227020502E0,-1.651346684E0
4.179990710E-1,2.386541367E0,-3.298804998E0,-3.487539053E0
4.277124040E-1,5.383850932E-1,-3.622135162E0,-4.878666401E0
4.374249560E-1,-1.185344458E0,-3.437588930E0,-6.568896294E0
4.471383940E-1,-1.872383654E-1,-3.631706476E0,-9.511171341E0
4.568525600E-1,2.467897415E0,-4.273282051E0,-1.222612762E1
4.665658940E-1,4.464707851E0,-4.950749874E0,-1.066510963E1
4.762784460E-1,4.794917583E0,-5.956333637E0,-2.194816589E0
4.859918830E-1,4.761417866E0,-6.439982891E0,4.166502476E0
4.957060500E-1,3.863810301E0,-4.857429981E0,3.654139280E0
5.054193830E-1,-6.969095767E-2,-3.452244759E0,4.537389755E0
5.151319350E-1,-4.592125893E0,-4.907679081E0,4.845465720E-2
5.248453730E-1,-9.533603668E0,-6.643373013E0,-2.103889227E0
5.345595400E-1,-1.539213085E1,-9.317651749E0,4.603192508E-1
5.442728730E-1,-1.268435287E1,-1.362473202E1,3.821636915E0
5.539854250E-1,-4.666602135E0,-1.772094536E1,9.141180992E0
5.636988630E-1,3.361018419E0,-2.055075645E1,7.893921852E0
5.734130290E-1,7.814061642E0,-2.039283180E1,4.769793034E0
5.831263100E-1,6.116652966E0,-1.887009811E1,4.962115884E-1
5.928389150E-1,1.134497046E0,-1.723490334E1,2.090728730E-1
6.025523520E-1,-2.133500576E0,-1.614796448E1,7.354938388E-1
6.122665190E-1,-2.820539713E0,-1.554945850E1,-1.477568001E-1
6.219798000E-1,-2.351247311E0,-1.504427433E1,-1.821237087E0
6.316924040E-1,-1.774278045E0,-1.445773315E1,-3.159423113E0
6.414058420E-1,-1.985145450E0,-1.359841156E1,-2.709572554E0
6.511200080E-1,-2.382653236E0,-1.235324574E1,-1.924128532E0
6.608332900E-1,-1.278963685E0,-1.074706364E1,-2.963211775E0
6.705458940E-1,7.345965505E-1,-9.758230209E0,-4.708476543E0
6.802593310E-1,8.925228715E-1,-9.585647583E0,-4.521836758E0
6.899734980E-1,-1.501496196E0,-9.813264847E0,-3.209971666E0
6.996867790E-1,-5.135595798E0,-9.219545364E0,-2.015055656E0
7.093993830E-1,-6.124429703E0,-9.011071205E0,-2.211566210E0
7.191128210E-1,-4.336093903E0,-9.870692253E0,-4.232006073E0
7.288269880E-1,-1.549352646E0,-1.069890785E1,-7.117151737E0
7.385403210E-1,1.321137190E0,-1.126391315E1,-1.010488987E1
7.482528730E-1,3.571586847E0,-1.125673485E1,-1.185015488E1
7.579663100E-1,5.707180977E0,-1.136471081E1,-1.287009525E1
7.676804770E-1,6.913762093E0,-1.081884861E1,-1.360020542E1
7.773938100E-1,6.305685997E0,-9.897013664E0,-1.282941818E1
7.871063630E-1,4.253840446E0,-9.037391663E0,-9.736096382E0
7.968198000E-1,2.041675806E0,-8.020143509E0,-6.161817551E0
8.065339670E-1,9.044869542E-1,-7.014559746E0,-3.382254839E0
8.162473000E-1,2.126621157E-1,-5.633003712E0,-1.325623751E0
8.259599040E-1,-1.211665511E0,-4.433601379E0,6.852445602E-1
8.356732380E-1,-3.316153049E0,-3.679563046E0,5.344369411E0
8.453874560E-1,-5.023132801E0,-4.546063900E0,9.359226227E0
8.551007900E-1,-5.580959797E0,-6.918846607E0,1.185853004E1
8.648133940E-1,-4.637888432E0,-5.041677475E0,7.082456112E0
8.745268310E-1,-4.019941807E0,-8.525327682E0,-3.329612732E0
8.842409980E-1,-2.119143486E0,-1.204457188E1,-6.683752060E0
8.939543310E-1,-6.972087026E-1,-1.611207199E1,-7.052246571E0
9.036669350E-1,-9.532406926E-1,-1.970070648E1,-9.190233231E0
9.133802690E-1,-3.862015724E0,-2.083789635E1,-9.501599312E0
9.230944880E-1,-6.433403015E0,-2.120429611E1,-5.682953835E0
9.328078210E-1,-7.462914944E0,-2.069911194E1,-3.880260944E0
9.425204250E-1,-7.089335442E0,-1.976082611E1,-4.789832592E0
9.522338630E-1,-5.540281773E0,-1.920539284E1,-4.893023014E0
9.619480290E-1,-4.099204063E0,-1.889163399E1,-3.652643681E0
9.716613630E-1,-2.717648268E0,-1.808256149E1,-2.180459738E0
9.813739670E-1,-1.573280931E0,-1.696929932E1,-5.380859971E-1
9.910874040E-1,-1.094417214E0,-1.557099438E1,9.870393574E-2
1.000801571E0,-1.355534077E0,-1.397647667E1,1.800599098E-1
1.010514904E0,-2.047358990E0,-1.230538940E1,2.258226424E-1
1.020227508E0,-2.238784790E0,-1.060798073E1,3.047857881E-1
1.029940842E0,-1.922932148E0,-8.977571487E0,3.119642437E-1
1.039655113E0,-1.676172256E0,-7.268198967E0,5.967101455E-1
1.049368446E0,-1.585245013E0,-5.637789249E0,9.942178130E-1
1.059080998E0,-1.657029629E0,-4.153641224E0,1.168893814E0
1.068794435E0,-1.774278045E0,-3.054737091E0,7.692924738E-1
1.078508654E0,-2.296212435E0,-2.175973177E0,2.282154560E-1
1.088221935E0,-3.146262646E0,-1.450648785E0,-4.806582630E-1
1.097934540E0,-3.620340586E0,-1.031605721E0,-1.083948612E0
1.107647977E0,-3.399901867E0,-8.521439433E-1,-1.344766378E0
1.117362144E0,-2.236391783E0,-1.067497969E0,-1.210768223E0
1.127075581E0,-2.853440940E-1,-1.558325768E0,-7.965108156E-1
1.136788081E0,1.502991676E0,-1.994118571E0,-1.129412293E0
1.146501519E0,1.519741535E0,-2.535195589E0,-2.838784933E0
1.156215738E0,1.412064433E0,-2.611765862E0,-5.673382282E0
1.165929071E0,1.299601793E0,-2.633301258E0,-8.711369514E0
1.175641675E0,2.223829508E0,-3.045166016E0,-1.069621658E1
1.185355113E0,3.657728434E0,-3.502494097E0,-1.049043369E1
1.195069279E0,5.120640278E0,-4.452744007E0,-5.029414177E0
1.204782613E0,5.917749405E0,-5.623432159E0,7.956135273E-2
1.214495217E0,5.175675392E0,-5.300401211E0,3.531806231E0
1.224208654E0,3.633800268E0,-4.395316124E0,5.717649937E0
1.233922821E0,-4.092025757E0,-5.276473045E0,2.806481838E0
1.243636154E0,-9.718150139E0,-6.911668301E0,-8.091329575E0
1.253348758E0,-1.406082439E1,-1.028734303E1,-1.469193101E0
1.263062196E0,-1.256949711E1,-1.586561012E1,9.415757060E-1
1.272776363E0,-5.161916733E0,-1.816391754E1,6.043372631E0
1.282489800E0,1.582253933E0,-2.100569344E1,9.883553505E0
1.292202300E0,6.525825500E0,-2.013171387E1,6.567699909E0
1.301915790E0,6.549753666E0,-1.781905174E1,2.306082726E0
1.311629956E0,1.776072621E0,-1.513041592E1,9.583254457E-1
1.321343290E0,-2.540579557E0,-1.405783272E1,1.271785259E0
1.331055894E0,-3.538984776E0,-1.419691563E1,7.836494446E-1
1.340769331E0,-2.373081923E0,-1.516391563E1,-8.252246976E-1
1.350483498E0,-7.019943595E-1,-1.652154350E1,-2.036591291E0
1.360196935E0,-3.858426586E-2,-1.750559044E1,-1.792523265E0
1.369909488E0,-7.259225845E-1,-1.733540154E1,-6.026921868E-1
1.379622925E0,-8.264211416E-1,-1.604746437E1,-5.261218548E-1
1.389337092E0,8.105687052E-2,-1.415623760E1,-2.644966364E0
1.399050425E0,1.017248750E0,-1.208046436E1,-4.667798996E0
1.408763029E0,1.268495083E0,-1.023230743E1,-5.517848969E0
1.418476467E0,-6.251249462E-2,-9.064012527E0,-5.369194984E0
1.428190685E0,-3.268296719E0,-8.735896111E0,-4.895416260E0
1.437904019E0,-5.047060966E0,-8.271389961E0,-4.797011375E0
1.447616623E0,-5.327320576E0,-8.190033913E0,-5.915057659E0
