"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.934667400E-1,-1.297744989E0,2.773246467E-1,5.030327439E-1
2.031802300E-1,-9.642223716E-1,2.916795574E-2,3.173351586E-1
2.128944480E-1,-5.427377820E-1,-1.101052165E-1,1.156028435E-1
2.226078860E-1,-7.635590620E-3,-8.567132801E-2,-9.086353332E-2
2.323205420E-1,6.239804626E-1,1.453816444E-1,-2.790044844E-1
2.420340320E-1,1.274074674E0,5.558710098E-1,-4.304946065E-1
2.517482510E-1,1.836054206E0,9.785773158E-1,-5.318952799E-1
2.614617400E-1,2.200119019E0,1.150836229E0,-6.516213417E-1
2.711743440E-1,2.343057394E0,9.834640622E-1,-7.615737915E-1
2.808878340E-1,2.371156454E0,6.548282504E-1,-7.957812548E-1
2.906020530E-1,2.401698828E0,4.410317242E-1,-7.395833135E-1
3.003155420E-1,2.465226889E0,3.946073353E-1,-6.565080881E-1
3.100281460E-1,2.602056503E0,5.033381581E-1,-6.039752364E-1
3.197416360E-1,2.839065313E0,7.721109390E-1,-5.868715048E-1
3.294559070E-1,3.077295780E0,1.054322362E0,-5.783196688E-1
3.391692920E-1,3.186026573E0,1.230246425E0,-5.172349215E-1
3.488819480E-1,3.058970451E0,1.370741248E0,-3.694098890E-1
3.585954380E-1,2.660697937E0,1.467255116E0,-2.020377368E-1
3.683097090E-1,2.000983000E0,1.367076159E0,-1.030804738E-1
3.780230940E-1,1.243532300E0,8.283088803E-1,-2.362451702E-1
3.877357510E-1,7.705838084E-1,-6.612421572E-2,-5.954233408E-1
3.974492400E-1,8.524373770E-1,-8.419002295E-1,-9.521581531E-1
4.071635110E-1,1.233758807E0,-6.500942111E-1,-1.123195410E0
4.168768960E-1,1.568503022E0,4.630222321E-1,-1.207492352E0
4.265895530E-1,1.322942495E0,6.890357137E-1,-1.196497083E0
4.363030940E-1,8.145648241E-1,-1.234064221E0,-8.165500760E-1
4.460173130E-1,5.738909841E-1,-2.441098452E0,-4.671454430E-1
4.557306980E-1,6.484143734E-1,-2.464310646E0,-1.324011385E-1
4.654433550E-1,1.093111157E0,-1.544374585E0,1.656923145E-1
4.751568960E-1,1.730988383E0,-8.247964978E-1,3.075616062E-1
4.848711150E-1,2.009534836E0,-7.258392572E-1,6.062658876E-2
4.945846050E-1,1.833610773E0,-1.047144890E0,-3.144336343E-1
5.042972090E-1,1.563616276E0,-1.341573238E0,-5.086830258E-1
5.140106980E-1,1.500088215E0,-1.342795014E0,-5.013529062E-1
5.237249170E-1,1.662573576E0,-1.216960430E0,-3.706315756E-1
5.334384070E-1,1.942341566E0,-8.284615874E-1,-2.619007528E-1
5.431510110E-1,2.330840349E0,-3.153499067E-1,-3.400892019E-1
5.528645010E-1,2.872051001E0,9.025268257E-2,-5.685460567E-1
5.625787710E-1,3.446247578E0,4.593571424E-1,-8.067765236E-1
5.722921570E-1,3.784657001E0,6.658235192E-1,-9.900307059E-1
5.820048130E-1,3.722350597E0,6.438329816E-1,-1.154959440E0
5.917183030E-1,3.328964949E0,5.302154422E-1,-1.290567517E0
6.014325730E-1,2.773093939E0,4.129327536E-1,-1.213600755E0
6.111459590E-1,2.214779377E0,2.113531530E-1,-7.994463444E-1
6.208586150E-1,1.669903636E0,-7.834116369E-2,-1.812689304E-1
6.305721570E-1,1.066233873E0,-3.727695346E-1,3.869717419E-1
6.402863760E-1,3.979669809E-1,-5.572454333E-1,7.204943299E-1
6.499998650E-1,-3.020639718E-1,-6.268820167E-1,8.451071978E-1
6.597124690E-1,-1.008203387E0,-7.026270628E-1,9.123004079E-1
6.694259590E-1,-1.714342833E0,-7.905890942E-1,9.880454540E-1
6.791402300E-1,-2.394826651E0,-8.125795722E-1,1.050351858E0
6.888536150E-1,-3.009339094E0,-7.563816309E-1,1.077229142E0
6.985662710E-1,-3.549328089E0,-7.136223316E-1,1.077229142E0
7.082798130E-1,-4.045335770E0,-8.015843034E-1,1.071120620E0
7.179940320E-1,-4.477968693E0,-9.970554113E-1,1.099219680E0
7.277075210E-1,-4.791944027E0,-1.237729311E0,1.225054145E0
7.374201260E-1,-4.925108910E0,-1.366007209E0,1.427855492E0
7.471336150E-1,-4.806604385E0,-1.187639832E0,1.633100152E0
7.568478860E-1,-4.302044392E0,-5.767925382E-1,1.723505497E0
7.665612710E-1,-3.589643955E0,5.363239050E-1,1.756491303E0
7.762739280E-1,-3.347748518E0,1.407392025E0,1.727170587E0
7.859874690E-1,-3.615299463E0,1.525896430E0,1.551246643E0
7.957016880E-1,-3.918279648E0,1.222916245E0,1.396091461E0
8.054151780E-1,-4.036784172E0,9.626953006E-1,1.336228371E0
8.151277820E-1,-4.084430218E0,6.780404449E-1,1.304464340E0
8.248412710E-1,-4.110085964E0,2.565558553E-1,1.375322580E0
8.345555420E-1,-4.009906769E0,-2.092151903E-2,1.507265568E0
8.442689280E-1,-3.809548855E0,-2.336490713E-2,1.598892689E0
8.539816360E-1,-3.600639105E0,1.747023165E-1,1.696628213E0
8.636951260E-1,-3.342861652E0,3.811686933E-1,1.791920424E0
8.734093960E-1,-3.027664423E0,5.167768002E-1,1.821241140E0
8.831227820E-1,-2.631835461E0,5.925218463E-1,1.717397094E0
8.928354380E-1,-2.101619959E0,6.633801460E-1,1.443737507E0
9.025489800E-1,-1.466338873E0,6.401679516E-1,1.041800022E0
9.122631980E-1,-7.931851745E-1,5.644228458E-1,6.129852533E-1
9.219766880E-1,-8.704573661E-2,6.768187881E-1,2.145601064E-1
9.316892920E-1,6.337540150E-1,9.358180165E-1,-1.079672500E-1
9.414028340E-1,1.337602735E0,1.244906664E0,-3.498627543E-1
9.511170530E-1,1.953336835E0,1.533226609E0,-5.514423847E-1
9.608305420E-1,2.423689127E0,1.722589254E0,-7.249229550E-1
9.705431460E-1,2.751103401E0,1.771457076E0,-8.202151656E-1
9.802566880E-1,2.945352793E0,1.618745208E0,-8.458707333E-1
9.899709070E-1,3.045531750E0,1.258345366E0,-8.483141065E-1
9.996843960E-1,3.060192108E0,8.576295376E-1,-8.470924497E-1
1.009397001E0,2.964899778E0,5.375455618E-1,-8.812998533E-1
1.019110542E0,2.874494553E0,3.738385141E-1,-9.790354371E-1
1.028824761E0,3.005215883E0,4.679090083E-1,-1.104869962E0
1.038538251E0,3.427922010E0,7.476770282E-1,-1.148851037E0
1.048250855E0,3.944698811E0,9.993461370E-1,-1.086544514E0
1.057964396E0,4.096189022E0,1.386623263E0,-9.240592122E-1
1.067678615E0,3.635610104E0,1.815438032E0,-7.127060294E-1
1.077392105E0,2.755990028E0,1.761683464E0,-5.331169367E-1
1.087104709E0,1.584385037E0,1.141062737E0,-5.196782947E-1
1.096818251E0,6.093201637E-1,2.125748396E-1,-7.811209559E-1
1.106532521E0,5.457920432E-1,-4.546230733E-1,-1.038898468E0
1.116245907E0,9.843803644E-1,-2.225011140E-1,-1.079214454E0
1.125958615E0,1.210546613E0,7.391251922E-1,-1.176949978E0
1.135672105E0,9.452861547E-1,7.195780873E-1,-1.261246920E0
1.145386376E0,3.637595475E-1,-1.264606595E0,-9.179506898E-1
1.155099865E0,3.833066523E-1,-2.201646328E0,-6.320741773E-1
1.164812469E0,7.644753456E-1,-2.174768925E0,-2.240282297E-1
1.174526011E0,1.330272675E0,-1.494285107E0,2.328855246E-1
1.184240282E0,1.827502251E0,-1.227955699E0,4.749337435E-1
1.193953667E0,1.958223581E0,-1.759392858E0,3.588727713E-1
1.203666376E0,1.722436547E0,-2.343362808E0,4.107947648E-2
1.213379865E0,1.386470556E0,-2.477749109E0,-2.423536479E-1
1.223094136E0,1.335159421E0,-2.304268599E0,-2.973299026E-1
1.232807626E0,1.590493560E0,-1.798487067E0,-1.617218107E-1
1.242520230E0,1.987544298E0,-8.406785131E-1,-2.901524538E-3
1.252233771E0,2.434684515E0,3.038965166E-2,-4.443913698E-2
1.261948042E0,2.884268045E0,3.921639323E-1,-3.388675153E-1
1.271661428E0,3.350955248E0,5.619794726E-1,-7.102626562E-1
1.281374136E0,3.715020418E0,8.258655071E-1,-9.814788103E-1
1.291087626E0,3.848185062E0,1.158166409E0,-1.076771021E0
1.300801896E0,3.728458881E0,1.299883008E0,-1.103648305E0
1.310515386E0,3.353398800E0,1.126402378E0,-1.146407604E0
1.320227990E0,2.809744596E0,7.611156702E-1,-1.114643574E0
1.329941532E0,2.242878437E0,2.028012872E-1,-8.397622705E-1
1.339655803E0,1.711441278E0,-4.399627447E-1,-3.290939629E-1
1.349369292E0,1.204438090E0,-8.883246183E-1,2.170034945E-1
1.359081896E0,6.545228362E-1,-9.946120381E-1,6.459710002E-1
1.368795438E0,8.276980370E-2,-8.980981708E-1,8.890882134E-1
1.378509709E0,-4.914266169E-1,-8.284615874E-1,9.587247968E-1
1.388223094E0,-1.112047434E0,-8.076927662E-1,9.672766328E-1
1.397935803E0,-1.791309595E0,-6.586460471E-1,9.513946176E-1
1.407649344E0,-2.451024532E0,-2.848075330E-1,9.049702287E-1
1.417363615E0,-3.002008915E0,1.159082651E-1,8.218950033E-1
1.427077001E0,-3.411276579E0,2.345653474E-1,7.168292403E-1
1.436789709E0,-3.747242451E0,-2.336490713E-2,6.618530154E-1
1.446503251E0,-4.019680500E0,-5.071559548E-1,7.241594195E-1
1.456217521E0,-4.193313599E0,-8.956547976E-1,9.281824231E-1
1.465930907E0,-4.310596466E0,-1.005607247E0,1.187181592E0
1.475643615E0,-4.250733376E0,-9.323056340E-1,1.375322580E0
1.485357157E0,-3.874298811E0,-6.586460471E-1,1.457176089E0
1.495071428E0,-3.446705580E0,2.794626169E-2,1.475501537E0
1.504784813E0,-3.370960712E0,8.075400591E-1,1.396091461E0
1.514497521E0,-3.595752478E0,1.073869467E0,1.255596519E0
1.524211063E0,-3.705704927E0,1.051878929E0,1.126096964E0
1.533925334E0,-3.620186329E0,1.178935170E0,9.330691695E-1
1.543638719E0,-3.480913162E0,1.252236843E0,7.791357040E-1
1.553351428E0,-3.487021685E0,1.000567794E0,7.583668828E-1
1.563064969E0,-3.604304314E0,5.644228458E-1,8.866447806E-1
1.572779240E0,-3.659280539E0,5.115845799E-2,1.090667725E0
1.582492626E0,-3.524893999E0,-2.359397560E-1,1.275143623E0
1.592205334E0,-3.181597948E0,-2.725905776E-1,1.438850760E0
1.601918876E0,-2.722240925E0,-1.980672181E-1,1.501157165E0
1.611633146E0,-2.248223305E0,-2.092151903E-2,1.407086611E0
1.621346636E0,-1.793753028E0,1.783674061E-1,1.140757203E0
1.631059240E0,-1.342947721E0,2.858765125E-1,8.035695553E-1
1.640772782E0,-8.664868474E-1,3.396310806E-1,4.859289825E-1
1.650487053E0,-3.374931216E-1,3.921639323E-1,2.121167034E-1
