"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.592890100E-1,6.872031838E-3,2.290677279E-3,1.221694518E-3
1.690018750E-1,3.206948051E-3,1.068982761E-3,3.665083554E-3
1.787154690E-1,-2.901524538E-3,1.068982761E-3,4.886778072E-3
1.884282810E-1,-5.344913341E-3,-1.527118147E-4,3.665083554E-3
1.981403130E-1,-5.344913341E-3,-1.527118147E-4,4.886778072E-3
2.078531770E-1,-2.901524538E-3,1.068982761E-3,4.886778072E-3
2.175667710E-1,-4.581354442E-4,2.290677279E-3,2.443389036E-3
2.272795310E-1,4.428642802E-3,3.512371797E-3,2.443389036E-3
2.369915630E-1,5.650337320E-3,1.068982761E-3,0.000000000E0
2.467044270E-1,4.428642802E-3,1.068982761E-3,1.221694518E-3
2.564180210E-1,-4.581354442E-4,-2.596100792E-3,0.000000000E0
2.661307810E-1,-1.679830020E-3,-1.374406274E-3,1.221694518E-3
2.758428130E-1,-2.901524538E-3,-2.596100792E-3,3.665083554E-3
2.855556770E-1,-5.344913341E-3,-1.374406274E-3,3.665083554E-3
2.952692710E-1,-4.123218823E-3,1.068982761E-3,2.443389036E-3
3.049820310E-1,-2.901524538E-3,1.068982761E-3,2.443389036E-3
3.146940630E-1,-1.679830020E-3,-1.374406274E-3,1.221694518E-3
3.244069270E-1,-4.581354442E-4,-3.817795310E-3,-1.221694518E-3
3.341205730E-1,-4.581354442E-4,-5.039489828E-3,-1.221694518E-3
3.438333330E-1,-4.581354442E-4,-3.817795310E-3,-2.443389036E-3
3.535453650E-1,-4.581354442E-4,-2.596100792E-3,-2.443389036E-3
3.632582290E-1,-1.679830020E-3,-1.527118147E-4,-2.443389036E-3
3.729718230E-1,-4.581354442E-4,3.512371797E-3,-2.443389036E-3
3.826845830E-1,-4.581354442E-4,4.734066315E-3,-2.443389036E-3
3.923966150E-1,-4.581354442E-4,3.512371797E-3,0.000000000E0
4.021094790E-1,-4.581354442E-4,1.068982761E-3,0.000000000E0
4.118230730E-1,-4.581354442E-4,-1.527118147E-4,0.000000000E0
4.215358330E-1,7.635590737E-4,-2.596100792E-3,-1.221694518E-3
4.312478650E-1,1.985253533E-3,-2.596100792E-3,-1.221694518E-3
4.409607290E-1,3.206948051E-3,-3.817795310E-3,0.000000000E0
4.506743750E-1,3.206948051E-3,-3.817795310E-3,-1.221694518E-3
4.603871350E-1,7.635590737E-4,-1.527118147E-4,0.000000000E0
4.700991670E-1,-1.679830020E-3,1.068982761E-3,1.221694518E-3
4.798120310E-1,-2.901524538E-3,2.290677279E-3,1.221694518E-3
4.895256250E-1,-2.901524538E-3,1.068982761E-3,2.443389036E-3
4.992383850E-1,-1.679830020E-3,-1.374406274E-3,3.665083554E-3
5.089504170E-1,7.635590737E-4,-1.374406274E-3,2.443389036E-3
5.186632810E-1,1.985253533E-3,-2.596100792E-3,3.665083554E-3
5.283768750E-1,3.206948051E-3,-2.596100792E-3,3.665083554E-3
5.380896350E-1,3.206948051E-3,-1.374406274E-3,4.886778072E-3
5.478016670E-1,1.985253533E-3,-1.374406274E-3,4.886778072E-3
5.575145310E-1,1.985253533E-3,-1.527118147E-4,4.886778072E-3
5.672281770E-1,1.985253533E-3,1.068982761E-3,6.108472589E-3
5.769409380E-1,3.206948051E-3,2.290677279E-3,7.330167107E-3
5.866529690E-1,3.206948051E-3,1.068982761E-3,6.108472589E-3
5.963658330E-1,4.428642802E-3,-1.527118147E-4,6.108472589E-3
6.060794270E-1,3.206948051E-3,-1.527118147E-4,6.108472589E-3
6.157921880E-1,3.206948051E-3,-1.374406274E-3,4.886778072E-3
6.255042190E-1,3.206948051E-3,-1.374406274E-3,3.665083554E-3
6.352170830E-1,3.206948051E-3,-1.374406274E-3,2.443389036E-3
6.449306770E-1,1.985253533E-3,1.068982761E-3,1.221694518E-3
6.546434380E-1,1.985253533E-3,2.290677279E-3,1.221694518E-3
6.643554690E-1,1.985253533E-3,1.068982761E-3,-1.221694518E-3
6.740683330E-1,1.985253533E-3,-1.527118147E-4,-2.443389036E-3
6.837819790E-1,1.985253533E-3,-2.596100792E-3,-1.221694518E-3
6.934947400E-1,1.985253533E-3,-3.817795310E-3,-1.221694518E-3
7.032067710E-1,3.206948051E-3,-3.817795310E-3,1.221694518E-3
7.129196350E-1,1.985253533E-3,-2.596100792E-3,3.665083554E-3
7.226332290E-1,1.985253533E-3,-1.374406274E-3,4.886778072E-3
7.323459900E-1,3.206948051E-3,2.290677279E-3,4.886778072E-3
7.420580210E-1,3.206948051E-3,3.512371797E-3,2.443389036E-3
7.517708850E-1,3.206948051E-3,5.955760833E-3,2.443389036E-3
7.614845310E-1,4.428642802E-3,4.734066315E-3,1.221694518E-3
