"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.099355700E-2,-2.056930065E0,-9.837492108E-1,-9.688240051E0
6.070735900E-2,-2.042573214E0,-1.000499010E0,-9.678668022E0
7.042053600E-2,-2.064108610E0,-9.981061220E-1,-9.661918640E0
8.013251500E-2,-2.095215321E0,-9.909276962E-1,-9.664311409E0
8.984631700E-2,-2.123929262E0,-9.765707254E-1,-9.671489716E0
9.955923400E-2,-2.143071890E0,-9.550353289E-1,-9.681061745E0
1.092714210E-1,-2.159821510E0,-9.311071038E-1,-9.690632820E0
1.189844940E-1,-2.152642965E0,-9.191430211E-1,-9.693025589E0
1.286982440E-1,-2.157428741E0,-9.239286184E-1,-9.731310844E0
1.384112130E-1,-2.150250196E0,-9.143573642E-1,-9.580562592E0
1.481234010E-1,-2.133500576E0,-9.191430211E-1,-9.783952713E0
1.578364210E-1,-2.109572172E0,-9.095717072E-1,-9.786345482E0
1.675502240E-1,-2.107179403E0,-9.167501926E-1,-9.563813210E0
1.772631400E-1,-2.123929262E0,-9.143573642E-1,-9.618847847E0
1.869753800E-1,-2.143071890E0,-9.287142754E-1,-9.793523788E0
1.966884010E-1,-2.138286114E0,-9.454640746E-1,-9.657133102E0
2.064022030E-1,-2.162214279E0,-9.358927608E-1,-9.578169823E0
2.161151190E-1,-2.167000055E0,-9.526425004E-1,-9.771988869E0
2.258273070E-1,-2.152642965E0,-9.454640746E-1,-9.760024071E0
2.355403800E-1,-2.152642965E0,-9.119645357E-1,-9.561420441E0
2.452541300E-1,-2.145464659E0,-9.047860503E-1,-9.635597229E0
2.549671510E-1,-2.133500576E0,-9.191430211E-1,-9.793523788E0
2.646792860E-1,-2.135893345E0,-9.311071038E-1,-9.642776489E0
2.743923590E-1,-2.150250196E0,-9.143573642E-1,-9.573384285E0
2.841061090E-1,-2.162214279E0,-9.191430211E-1,-9.762416840E0
2.938191300E-1,-2.140678883E0,-9.406784177E-1,-9.745667458E0
3.035312650E-1,-2.143071890E0,-9.478568435E-1,-9.568598747E0
3.132442860E-1,-2.116750717E0,-9.454640746E-1,-9.673882484E0
3.229580880E-1,-2.104786634E0,-9.693922997E-1,-9.807881355E0
3.326710050E-1,-2.104786634E0,-9.669994712E-1,-9.637990952E0
