"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.929412000E-2,8.584251255E-2,-2.221436739E0,-1.016231823E1
5.900860000E-2,2.988037169E-1,-2.013261080E0,-1.093310547E1
6.872146400E-2,3.562314808E-1,-1.907976985E0,-1.062203884E1
7.843526600E-2,4.713860750E-1,-1.668395638E0,-1.005464077E1
8.814974500E-2,2.581257522E-1,-1.567897081E0,-1.022453117E1
9.786339100E-2,-3.547359705E-1,-2.034796476E0,-9.175876617E0
1.075763600E-1,-8.838488460E-1,-2.140080690E0,-9.700203896E0
1.172901100E-1,-1.190130115E0,-2.118545294E0,-9.927821159E0
1.270045890E-1,-1.252642632E0,-2.295614243E0,-9.882058144E0
1.367182870E-1,-1.343569875E0,-2.539981127E0,-9.827023506E0
1.464312040E-1,-1.432104349E0,-3.215056419E0,-9.508777618E0
1.561449540E-1,-1.142273664E0,-3.588635683E0,-9.499206543E0
1.658594330E-1,-3.332005441E-1,-3.892524242E0,-8.929415703E0
1.755731310E-1,2.102692872E-1,-4.340281010E0,-8.903095245E0
1.852860480E-1,-8.264211416E-1,-4.438386917E0,-9.197412491E0
1.949997980E-1,-1.875075698E0,-4.577469826E0,-8.816953659E0
2.047142770E-1,-2.332104683E0,-5.005784988E0,-8.452944756E0
2.144279750E-1,-2.763111830E0,-5.274080276E0,-9.125627518E0
2.241408910E-1,-2.583650351E0,-5.142475128E0,-9.547062874E0
2.338546410E-1,-2.205285072E0,-5.223830700E0,-8.864809990E0
2.435691200E-1,-1.668993831E0,-5.496612549E0,-8.598907471E0
2.532828700E-1,-1.573280931E0,-5.479863167E0,-9.113663673E0
2.629957350E-1,-1.685743570E0,-5.147260666E0,-8.900702477E0
2.727094850E-1,-1.817647934E0,-4.938786030E0,-8.371588707E0
2.824239640E-1,-2.167000055E0,-5.427220821E0,-8.227720261E0
2.921377140E-1,-2.598007202E0,-6.083153248E0,-7.294220924E0
3.018505790E-1,-2.392224550E0,-6.483053684E0,-6.233602047E0
3.115643290E-1,-1.999502420E0,-6.969096184E0,-5.431707382E0
3.212788600E-1,-1.546959877E0,-7.261020184E0,-5.012664318E0
3.309925060E-1,-1.199701428E0,-7.823632717E0,-5.079663277E0
3.407054230E-1,-7.115656137E-1,-8.561220169E0,-5.663811207E0
3.504191730E-1,-4.073780477E-1,-8.786145210E0,-5.548955917E0
3.601336520E-1,-1.199402362E-1,-8.843573570E0,-5.055735111E0
3.698474020E-1,-1.226321608E-2,-8.783752441E0,-4.804189682E0
3.795602660E-1,3.945166469E-1,-8.491529465E0,-4.859224796E0
3.892740160E-1,5.838487148E-1,-7.232306480E0,-4.808975220E0
3.989884950E-1,7.393822074E-1,-6.382555485E0,-4.361517429E0
4.087022450E-1,1.232602715E0,-6.473482609E0,-3.339184046E0
4.184151100E-1,1.261316657E0,-7.560422421E0,-2.661715984E0
4.281288600E-1,8.542376757E-1,-8.728717804E0,-2.702394009E0
4.378433390E-1,-3.188436031E-1,-8.542078018E0,-2.096710920E0
4.475570890E-1,-1.477568030E0,-8.173283577E0,-2.474776745E0
4.572699540E-1,-2.145464659E0,-7.885846138E0,-3.121138096E0
4.669837040E-1,-2.155035973E0,-7.447959423E0,-2.829213619E0
4.766981830E-1,-2.602792740E0,-6.854240417E0,-2.029412746E0
4.864119330E-1,-2.806182861E0,-6.339484692E0,-1.940878272E0
4.961247980E-1,-2.339283228E0,-6.629015923E0,-2.130210400E0
5.058385480E-1,-1.802991867E0,-7.308876991E0,-2.005484581E0
5.155530790E-1,-1.264606714E0,-8.204390526E0,-1.692024708E0
5.252667250E-1,-1.185344458E0,-9.008678436E0,-1.916949987E0
5.349796410E-1,-1.262213945E0,-9.183652878E0,-2.745464802E0
5.446933910E-1,-1.252642632E0,-8.750253677E0,-3.051746130E0
5.544079230E-1,-1.434497118E0,-8.369495392E0,-2.134995937E0
5.641215680E-1,-1.590030670E0,-7.893024445E0,-1.986341953E0
5.738344850E-1,-2.428116798E0,-7.615457058E0,-2.367099762E0
5.835482350E-1,-3.852444410E0,-7.845168114E0,-2.865106106E0
5.932627660E-1,-4.529912472E0,-8.072785378E0,-2.767000198E0
6.029764120E-1,-4.398307323E0,-8.673683167E0,-2.017448664E0
6.126893290E-1,-4.125525475E0,-8.841180801E0,-1.440479279E0
6.224030790E-1,-3.466900826E0,-8.446065903E0,-1.928914189E0
6.321176100E-1,-2.930908680E0,-7.881060600E0,-2.211566210E0
6.418312560E-1,-2.533401012E0,-7.627421379E0,-1.454836130E0
6.515441730E-1,-2.317747831E0,-7.715955734E0,-9.233304262E-1
6.612579750E-1,-2.655434847E0,-8.350353241E0,-9.595218897E-1
6.709724540E-1,-2.897109985E0,-9.102297783E0,-6.433702111E-1
6.806861000E-1,-3.009871721E0,-9.727123260E0,-4.136592150E-1
6.903990680E-1,-2.722434044E0,-1.042851925E1,-6.026921868E-1
7.001128180E-1,-2.133500576E0,-1.076620674E1,7.238288224E-2
7.098272980E-1,-1.853540182E0,-1.091456127E1,-5.443671346E-2
7.195410480E-1,-1.788634896E0,-1.119930744E1,1.016949583E-2
7.292539120E-1,-1.604387641E0,-1.138146114E1,4.292125702E-1
7.389676620E-1,-1.348355532E0,-1.145563793E1,6.110670567E-1
7.486821930E-1,-1.369890928E0,-1.147238827E1,4.076771438E-1
7.583958390E-1,-1.673779488E0,-1.129262733E1,3.358924687E-1
7.681087560E-1,-1.963610053E0,-1.082602692E1,5.225326419E-1
7.778225060E-1,-2.250748873E0,-1.028734303E1,8.554341197E-1
7.875370370E-1,-2.291426897E0,-9.837192535E0,1.020538807E0
7.972506830E-1,-2.145464659E0,-9.346364975E0,8.410771489E-1
8.069636520E-1,-1.994716763E0,-8.963214874E0,6.182455420E-1
