"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.640587640E-1,-3.297048211E-1,-1.291942000E-1,3.542914242E-2
1.737717320E-1,-3.431434333E-1,-8.276980370E-2,3.298575059E-2
1.834855340E-1,-3.321481943E-1,-2.290677279E-2,1.710372418E-2
1.931984510E-1,-3.235963285E-1,5.283828825E-2,-3.665083554E-3
2.029106390E-1,-3.382566571E-1,1.212531775E-1,-2.076880634E-2
2.126236070E-1,-3.553603888E-1,1.713426560E-1,-4.031591862E-2
2.223374090E-1,-3.590254784E-1,2.031067163E-1,-6.474980712E-2
2.320503260E-1,-3.639122546E-1,2.287622988E-1,-8.551861346E-2
2.417625140E-1,-3.810159862E-1,2.556395829E-1,-9.284878522E-2
2.514754300E-1,-4.396573007E-1,2.678565085E-1,-8.429691941E-2
2.611892840E-1,-5.508314967E-1,2.727433145E-1,-6.719319522E-2
2.709021490E-1,-7.120952010E-1,2.250972092E-1,-3.176405653E-2
2.806143360E-1,-9.002361298E-1,1.334701329E-1,0.000000000E0
2.903273050E-1,-1.084712029E0,5.161659420E-2,-6.108472589E-3
3.000411070E-1,-1.227650285E0,-8.246437646E-3,-3.665083647E-2
3.097540240E-1,-1.316833973E0,-7.299624383E-2,-8.185353130E-2
3.194662110E-1,-1.396396875E0,-1.609582454E-1,-1.221694499E-1
3.291791800E-1,-1.545443535E0,-3.393256664E-1,-1.343863904E-1
3.388929820E-1,-1.773900390E0,-6.337540150E-1,-1.123958975E-1
3.486058990E-1,-2.046338320E0,-9.416210651E-1,-3.787253052E-2
3.583180860E-1,-2.335879803E0,-1.138313890E0,6.474980712E-2
3.680310550E-1,-2.611982822E0,-1.130983710E0,1.612636745E-1
3.777448570E-1,-2.790350199E0,-8.805363178E-1,2.272351831E-1
3.874577740E-1,-2.870982170E0,-4.578300118E-1,2.834331393E-1
3.971699610E-1,-2.889307499E0,-1.572931707E-1,3.151971996E-1
4.068828780E-1,-2.827001095E0,-1.047603041E-1,3.164188862E-1
4.165967320E-1,-2.734152317E0,-1.621799469E-1,3.054236174E-1
4.263096490E-1,-2.625421524E0,-1.988307834E-1,2.761029601E-1
4.360217840E-1,-2.516690731E0,-1.817270666E-1,2.186833173E-1
4.457347530E-1,-2.418955088E0,-1.462979168E-1,1.624853760E-1
4.554485550E-1,-2.350540161E0,-1.194206402E-1,1.197260618E-1
4.651614720E-1,-2.363978863E0,1.985253580E-2,1.087308154E-1
4.748736590E-1,-2.492256880E0,2.678565085E-1,1.307213157E-1
4.845866280E-1,-2.665737391E0,4.303418994E-1,1.221694499E-1
4.943004300E-1,-2.817227602E0,4.303418994E-1,9.162709117E-2
5.040133470E-1,-2.941840410E0,4.095730782E-1,1.221694499E-1
5.137255340E-1,-3.045684338E0,5.378510356E-1,2.394521236E-1
5.234385030E-1,-3.018807173E0,8.444963098E-1,3.518480062E-1
5.331523050E-1,-2.778133392E0,1.164580345E0,4.092676640E-1
5.428652220E-1,-2.423841953E0,1.385707021E0,4.630222321E-1
5.525774090E-1,-2.151404142E0,1.401589036E0,4.960079789E-1
5.622903780E-1,-2.036564827E0,1.185349107E0,4.654656053E-1
5.720041800E-1,-2.058555365E0,7.895200849E-1,3.701734245E-1
5.817170970E-1,-2.172172785E0,4.523324072E-1,2.455606014E-1
5.914292320E-1,-2.319997787E0,3.900259733E-1,1.294996142E-1
6.011422010E-1,-2.374974251E0,5.158604980E-1,5.741964281E-2
6.108560550E-1,-2.269908428E0,7.259919643E-1,3.665083647E-2
6.205689720E-1,-2.095206022E0,9.153546095E-1,5.619794875E-2
6.302811070E-1,-1.964484811E0,9.727742672E-1,6.841489673E-2
6.399940760E-1,-1.947381020E0,9.422318935E-1,7.696675509E-2
6.497078780E-1,-2.015795946E0,7.931851745E-1,1.014006436E-1
6.594207950E-1,-2.096427679E0,5.317425132E-1,1.099525094E-1
6.691329820E-1,-2.173394442E0,2.580829561E-1,1.062874198E-1
6.788459510E-1,-2.206380367E0,1.652341783E-1,1.319430023E-1
6.885597530E-1,-2.097649574E0,2.483094037E-1,2.101314515E-1
6.982726700E-1,-1.889961362E0,4.120164812E-1,3.249707520E-1
7.079848570E-1,-1.743358135E0,5.622848868E-1,4.581354558E-1
7.176978260E-1,-1.742136359E0,6.123743653E-1,5.693096519E-1
7.274116280E-1,-1.773900390E0,5.793886185E-1,6.096255779E-1
7.371245450E-1,-1.760461807E0,5.073086619E-1,5.790832043E-1
7.468367320E-1,-1.756796718E0,4.107947946E-1,5.106683373E-1
7.565497010E-1,-1.864305854E0,2.751866877E-1,4.263713956E-1
7.662635030E-1,-1.985253572E0,1.408002973E-1,3.628432751E-1
7.759764200E-1,-1.951046109E0,4.062134400E-2,3.347443044E-1
7.856886070E-1,-1.788560748E0,4.428642616E-2,3.445178568E-1
