"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.760192800E-2,-3.711267948E0,-9.138189316E0,9.391828626E-2
6.731619800E-2,-3.675375462E0,-9.152546883E0,7.956135273E-2
7.702880300E-2,-3.627519131E0,-9.159725189E0,7.716853172E-2
8.674229200E-2,-3.589233875E0,-9.183652878E0,1.034895778E-1
9.645651100E-2,-3.558127165E0,-9.193224907E0,1.154536903E-1
1.061698960E-1,-3.507878065E0,-9.200403214E0,1.058823988E-1
1.158825530E-1,-3.495913982E0,-9.183652878E0,1.154536903E-1
1.255960940E-1,-3.517449379E0,-9.176474571E0,1.202393398E-1
1.353103130E-1,-3.596412420E0,-9.162117958E0,1.322034448E-1
1.450236980E-1,-3.661018610E0,-9.145368576E0,1.537388563E-1
1.547363550E-1,-3.689732552E0,-9.111868858E0,1.633101404E-1
1.644498960E-1,-3.694518089E0,-9.131011009E0,1.680957973E-1
1.741641150E-1,-3.668197155E0,-9.157332420E0,1.441675574E-1
1.838775000E-1,-3.615555048E0,-9.164510727E0,1.513460279E-1
1.935901570E-1,-3.574877024E0,-9.193224907E0,1.680957973E-1
2.033036980E-1,-3.527020693E0,-9.200403214E0,1.824527234E-1
2.130179170E-1,-3.517449379E0,-9.195617676E0,2.234298140E-1
2.227313030E-1,-3.546163082E0,-9.171689034E0,-3.050848842E-2
2.324439590E-1,-3.601198196E0,-9.169296265E0,-2.811566554E-2
2.421575000E-1,-3.651447296E0,-9.169296265E0,1.417747438E-1
2.518717190E-1,-3.670589924E0,-9.171689034E0,3.170489892E-2
2.615851050E-1,-3.661018610E0,-9.176474571E0,-1.214357466E-1
2.712977610E-1,-3.637090445E0,-9.152546883E0,8.434699476E-2
2.810112500E-1,-3.627519131E0,-9.116654396E0,1.923231184E-1
2.907255210E-1,-3.608376503E0,-9.126225471E0,4.127619043E-2
3.004389070E-1,-3.579662561E0,-9.176474571E0,1.274178028E-1
3.101515630E-1,-3.584448338E0,-9.209974289E0,3.358924687E-1
3.198650530E-1,-3.625126362E0,-9.233902931E0,2.258226424E-1
3.295793230E-1,-3.663411379E0,-9.229117393E0,9.870393574E-2
3.392927090E-1,-3.672982693E0,-9.202795982E0,2.234298140E-1
3.490053650E-1,-3.675375462E0,-9.131011009E0,1.776670814E-1
