"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.835991830E-1,-1.954711229E-2,2.748812735E-2,7.635590737E-4
1.933127760E-1,-1.954711229E-2,4.703523964E-2,3.206948051E-3
2.030270470E-1,-1.832541823E-2,5.558710173E-2,3.206948051E-3
2.127405370E-1,-1.588202827E-2,5.558710173E-2,3.206948051E-3
2.224532450E-1,-1.099525020E-2,4.581354558E-2,7.635590737E-4
2.321667350E-1,-6.108472589E-3,2.748812735E-2,-1.679830020E-3
2.418811100E-1,-2.443389036E-3,6.719320081E-3,-5.344913341E-3
2.515945470E-1,1.221694518E-3,-1.038440317E-2,-7.788302377E-3
2.613072560E-1,4.886778072E-3,-2.870982140E-2,-1.023169141E-2
2.710208490E-1,6.108472589E-3,-4.825693369E-2,-7.788302377E-3
2.807351200E-1,8.551862091E-3,-6.536065787E-2,-5.344913341E-3
2.904486100E-1,1.099525020E-2,-8.368607610E-2,-2.901524538E-3
3.001613180E-1,1.099525020E-2,-9.101624042E-2,-4.581354442E-4
3.098748080E-1,8.551862091E-3,-9.345962852E-2,1.985253533E-3
3.195891830E-1,2.443389036E-3,-8.368607610E-2,3.206948051E-3
3.293026200E-1,-2.443389036E-3,-6.536065787E-2,3.206948051E-3
3.390153810E-1,-8.551862091E-3,-3.726168349E-2,7.635590737E-4
3.487288700E-1,-1.343864016E-2,-6.719320081E-3,-4.581354442E-4
3.584431930E-1,-1.588202827E-2,2.260134928E-2,-1.679830020E-3
3.681566830E-1,-1.466033421E-2,4.214845970E-2,-4.123218823E-3
3.778693910E-1,-1.343864016E-2,5.314370990E-2,-5.344913341E-3
3.875829850E-1,-1.221694518E-2,5.925218388E-2,-6.566607859E-3
3.972972560E-1,-9.773556143E-3,5.680879578E-2,-6.566607859E-3
4.070107450E-1,-7.330167107E-3,4.947862774E-2,-4.123218823E-3
4.167234530E-1,-8.551862091E-3,2.993151546E-2,-2.901524538E-3
4.264369430E-1,-7.330167107E-3,9.162709117E-3,-4.581354442E-4
4.361513180E-1,-6.108472589E-3,-1.160609815E-2,7.635590737E-4
4.458647560E-1,-4.886778072E-3,-2.870982140E-2,1.985253533E-3
4.555774640E-1,-1.221694518E-3,-4.214845970E-2,3.206948051E-3
4.652910580E-1,3.665083554E-3,-4.825693369E-2,3.206948051E-3
4.750053280E-1,7.330167107E-3,-4.459185153E-2,3.206948051E-3
4.847188180E-1,8.551862091E-3,-3.848337755E-2,1.985253533E-3
4.944315260E-1,8.551862091E-3,-2.626643144E-2,-4.581354442E-4
5.041451200E-1,6.108472589E-3,-1.038440317E-2,-2.901524538E-3
5.138593910E-1,2.443389036E-3,5.497625098E-3,-5.344913341E-3
5.235728280E-1,1.221694518E-3,1.649287529E-2,-5.344913341E-3
5.332855890E-1,-1.221694518E-3,2.260134928E-2,-4.123218823E-3
5.429990780E-1,-2.443389036E-3,3.115320951E-2,-1.679830020E-3
5.527134530E-1,-1.221694518E-3,3.359659761E-2,7.635590737E-4
5.624268910E-1,-1.221694518E-3,3.237490356E-2,4.428642802E-3
5.721395990E-1,1.221694518E-3,2.626643144E-2,6.872031838E-3
5.818531930E-1,3.665083554E-3,1.893626526E-2,9.315420873E-3
5.915674640E-1,6.108472589E-3,1.038440317E-2,8.093725890E-3
6.012809530E-1,6.108472589E-3,5.497625098E-3,5.650337320E-3
6.109936620E-1,6.108472589E-3,3.054236295E-3,1.985253533E-3
6.207072560E-1,7.330167107E-3,6.108472589E-4,-1.679830020E-3
6.304215260E-1,7.330167107E-3,-6.108472589E-4,-4.123218823E-3
6.401350160E-1,8.551862091E-3,-4.275931045E-3,-4.123218823E-3
6.498477240E-1,8.551862091E-3,-9.162709117E-3,-4.123218823E-3
6.595612140E-1,8.551862091E-3,-1.527118124E-2,-2.901524538E-3
6.692755890E-1,6.108472589E-3,-2.260134928E-2,-4.581354442E-4
6.789890260E-1,1.221694518E-3,-2.504473738E-2,7.635590737E-4
6.887017870E-1,-4.886778072E-3,-2.015795931E-2,1.985253533E-3
6.984152760E-1,-9.773556143E-3,-1.282779220E-2,3.206948051E-3
7.081296510E-1,-1.343864016E-2,-3.054236295E-3,7.635590737E-4
7.178430890E-1,-9.773556143E-3,9.162709117E-3,7.635590737E-4
7.275558490E-1,-6.108472589E-3,1.893626526E-2,7.635590737E-4
7.372693390E-1,1.221694518E-3,2.626643144E-2,-1.679830020E-3
7.469837140E-1,8.551862091E-3,2.626643144E-2,-1.679830020E-3
7.566971510E-1,1.343864016E-2,1.893626526E-2,-4.581354442E-4
7.664098600E-1,1.466033421E-2,5.497625098E-3,7.635590737E-4
7.761234530E-1,1.221694518E-2,-1.038440317E-2,7.635590737E-4
7.858377760E-1,6.108472589E-3,-2.504473738E-2,1.985253533E-3
7.955512140E-1,1.221694518E-3,-3.603998944E-2,-4.581354442E-4
8.052639220E-1,-3.665083554E-3,-4.337015375E-2,-1.679830020E-3
8.149775160E-1,-4.886778072E-3,-4.703523964E-2,-1.679830020E-3
8.246917870E-1,-1.221694518E-3,-4.092676565E-2,-1.679830020E-3
8.344052760E-1,3.665083554E-3,-2.993151546E-2,-1.679830020E-3
8.441179850E-1,8.551862091E-3,-1.649287529E-2,-4.581354442E-4
8.538315780E-1,1.221694518E-2,-3.054236295E-3,7.635590737E-4
8.635459010E-1,1.221694518E-2,7.941014133E-3,3.206948051E-3
8.732593390E-1,8.551862091E-3,1.282779220E-2,5.650337320E-3
8.829720990E-1,3.665083554E-3,1.527118124E-2,5.650337320E-3
8.926855890E-1,-0.000000000E0,1.527118124E-2,4.428642802E-3
9.023999640E-1,-3.665083554E-3,1.527118124E-2,1.985253533E-3
9.121134010E-1,-4.886778072E-3,1.527118124E-2,7.635590737E-4
9.218261620E-1,-2.443389036E-3,1.527118124E-2,-1.679830020E-3
9.315396510E-1,-0.000000000E0,1.527118124E-2,-2.901524538E-3
9.412540260E-1,3.665083554E-3,1.527118124E-2,-1.679830020E-3
9.509675160E-1,4.886778072E-3,1.282779220E-2,1.985253533E-3
9.606802240E-1,4.886778072E-3,6.719320081E-3,5.650337320E-3
9.703938180E-1,2.443389036E-3,-1.832541777E-3,6.872031838E-3
9.801080890E-1,-1.221694518E-3,-1.160609815E-2,5.650337320E-3
9.898215780E-1,-2.443389036E-3,-1.527118124E-2,5.650337320E-3
9.995342870E-1,-1.221694518E-3,-1.404948719E-2,5.650337320E-3
1.009247881E0,2.443389036E-3,-6.719320081E-3,3.206948051E-3
1.018962203E0,7.330167107E-3,4.275931045E-3,1.985253533E-3
1.028675641E0,1.343864016E-2,1.404948719E-2,-1.679830020E-3
1.038388401E0,2.076880634E-2,1.771457121E-2,-2.901524538E-3
1.048101891E0,2.565558441E-2,1.404948719E-2,-2.901524538E-3
1.057816266E0,2.565558441E-2,3.054236295E-3,-2.901524538E-3
1.067529756E0,2.199050039E-2,-9.162709117E-3,-1.679830020E-3
1.077242464E0,1.710372418E-2,-2.382304333E-2,-1.679830020E-3
1.086956058E0,8.551862091E-3,-3.726168349E-2,-4.581354442E-4
1.096670381E0,2.443389036E-3,-4.214845970E-2,7.635590737E-4
1.106383818E0,-2.443389036E-3,-3.726168349E-2,1.985253533E-3
1.116096578E0,-6.108472589E-3,-2.137965336E-2,5.650337320E-3
1.125810068E0,-7.330167107E-3,6.108472589E-4,8.093725890E-3
1.135524443E0,-6.108472589E-3,2.260134928E-2,9.315420873E-3
1.145237933E0,-2.443389036E-3,3.726168349E-2,9.315420873E-3
1.154950641E0,-0.000000000E0,4.581354558E-2,6.872031838E-3
1.164664235E0,2.443389036E-3,4.703523964E-2,3.206948051E-3
1.174378558E0,2.443389036E-3,4.337015375E-2,-4.581354442E-4
1.184092047E0,3.665083554E-3,3.603998944E-2,-4.123218823E-3
1.193804756E0,4.886778072E-3,2.504473738E-2,-5.344913341E-3
1.203518349E0,6.108472589E-3,1.160609815E-2,-5.344913341E-3
1.213232672E0,6.108472589E-3,1.832541777E-3,-4.123218823E-3
1.222946110E0,6.108472589E-3,-1.832541777E-3,-2.901524538E-3
1.232658870E0,3.665083554E-3,-1.832541777E-3,1.985253533E-3
1.242372360E0,2.443389036E-3,-6.108472589E-4,4.428642802E-3
