"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.627095900E-1,-9.529217333E-2,2.840439677E-1,5.407525301E-1
1.726174030E-1,-8.063183725E-2,7.024743408E-2,6.140542030E-1
1.825252680E-1,1.710372269E-1,3.011476994E-1,4.979932308E-1
1.924331320E-1,5.118899941E-1,7.434011102E-1,3.489464819E-1
2.023409450E-1,7.745543122E-1,1.133121610E0,2.512109280E-1
2.122487570E-1,8.747332692E-1,1.359135151E0,2.255553454E-1
2.221565700E-1,8.344173431E-1,1.438545346E0,2.414373755E-1
2.320643820E-1,7.244648337E-1,1.431215167E0,2.695363462E-1
2.419721950E-1,6.169557571E-1,1.395785928E0,2.939702570E-1
2.518800070E-1,5.693096519E-1,1.373795509E0,3.098522723E-1
2.617878200E-1,5.913001299E-1,1.353026628E0,3.257342875E-1
2.716956320E-1,6.731536984E-1,1.293163657E0,3.318427801E-1
2.816034450E-1,8.160919547E-1,1.183211088E0,3.025220931E-1
2.915112570E-1,9.907942414E-1,9.889616966E-1,2.304421216E-1
3.014190700E-1,1.158166409E0,7.091936469E-1,9.361234307E-2
3.113268820E-1,1.276670814E0,3.768927455E-1,-9.086353332E-2
3.212346950E-1,1.309656501E0,7.391251624E-2,-2.606790662E-1
3.311425070E-1,1.270562291E0,-1.777565479E-1,-3.596363366E-1
3.410503200E-1,1.178935170E0,-3.487937748E-1,-3.852919042E-1
3.509581320E-1,1.062874198E0,-4.025483429E-1,-3.510844707E-1
3.608659450E-1,9.455915689E-1,-3.414636254E-1,-2.814478874E-1
3.707737570E-1,8.527427912E-1,-1.875301152E-1,-2.105895877E-1
3.806815700E-1,8.038749695E-1,2.137965336E-2,-1.702736765E-1
3.905893820E-1,7.965448499E-1,2.608317733E-1,-1.543916464E-1
4.004971950E-1,8.160919547E-1,4.880669713E-1,-1.287360638E-1
4.104050070E-1,8.466343284E-1,6.529957056E-1,-1.055238619E-1
4.203128200E-1,8.783983588E-1,7.177455425E-1,-1.079672500E-1
4.302206320E-1,9.113841057E-1,7.018635273E-1,-1.311794519E-1
4.401284450E-1,9.455915689E-1,6.310052276E-1,-1.543916464E-1
4.500362570E-1,9.761339426E-1,5.381564498E-1,-1.666085869E-1
4.599440700E-1,1.005454540E0,4.501944184E-1,-1.702736765E-1
4.698518820E-1,1.029888511E0,3.720059693E-1,-1.653869003E-1
4.797596950E-1,1.049435616E0,3.243598938E-1,-1.556133330E-1
4.896675070E-1,1.054322362E0,3.194731176E-1,-1.495048702E-1
4.995753200E-1,1.032331824E0,3.610107303E-1,-1.556133330E-1
5.094249550E-1,9.480349422E-1,4.135435820E-1,-1.763821393E-1
5.191376110E-1,7.892146707E-1,4.355340898E-1,-1.983726472E-1
5.288511530E-1,5.803049207E-1,4.367557764E-1,-2.130329758E-1
5.385654240E-1,3.713951409E-1,4.587462842E-1,-2.142546773E-1
5.482788610E-1,2.235700935E-1,5.210527182E-1,-2.179197669E-1
5.579915700E-1,1.453816444E-1,5.919110179E-1,-2.179197669E-1
5.677050070E-1,1.197260618E-1,6.578825116E-1,-2.020377368E-1
5.774193820E-1,1.343863904E-1,7.238540053E-1,-1.617218107E-1
5.871328200E-1,1.759240031E-1,8.057075143E-1,-1.043021679E-1
5.968454760E-1,2.211267054E-1,8.936695457E-1,-4.443913698E-2
6.065590180E-1,2.431172132E-1,9.645278454E-1,3.206948051E-3
6.162733400E-1,2.101314515E-1,9.962918758E-1,4.718795046E-2
6.259867780E-1,1.111742035E-1,9.730796814E-1,8.139539510E-2
6.356994340E-1,-2.076880634E-2,8.961129189E-1,9.605573118E-2
6.454129760E-1,-1.575985998E-1,7.715001106E-1,8.994726092E-2
6.551272990E-1,-2.761029601E-1,6.248967648E-1,6.673506647E-2
6.648407360E-1,-3.457395434E-1,4.978405237E-1,4.352286831E-2
6.745534450E-1,-3.616215885E-1,4.257605374E-1,4.963133857E-2
6.842668820E-1,-3.603998721E-1,3.830012381E-1,9.116895497E-2
6.939812570E-1,-3.640649617E-1,3.182514310E-1,1.437018216E-1
7.036946950E-1,-3.787252903E-1,2.034121305E-1,1.742441803E-1
7.134074030E-1,-3.762819171E-1,7.513421029E-2,1.815743446E-1
7.231209450E-1,-3.151971996E-1,-6.719320081E-3,1.669140160E-1
7.328352150E-1,-1.710372269E-1,-1.160609815E-2,1.094943732E-1
7.425486530E-1,1.710372418E-2,1.771457121E-2,-1.511846948E-2
7.522613610E-1,1.844758689E-1,5.314370990E-2,-1.592784226E-1
7.619749030E-1,3.005368412E-1,1.240019947E-1,-2.790044844E-1
7.716891740E-1,3.860554695E-1,2.400629669E-1,-3.596363366E-1
7.814026110E-1,4.752391577E-1,3.805578351E-1,-4.097257853E-1
7.911153200E-1,5.644228458E-1,5.027272701E-1,-4.537068009E-1
8.008288610E-1,6.426113248E-1,5.613686442E-1,-4.915793240E-1
8.105431320E-1,7.000309825E-1,5.076140761E-1,-4.952444136E-1
8.202565700E-1,7.024743557E-1,2.583884001E-1,-4.292729199E-1
8.299692780E-1,5.570927262E-1,-2.779355049E-1,-2.741177082E-1
8.396828200E-1,1.747023165E-1,-1.101357579E0,-5.665608495E-2
8.493971430E-1,-4.202629030E-1,-1.962652206E0,1.485885978E-1
8.591105800E-1,-1.077534556E0,-2.531961918E0,2.927485406E-1
8.688232880E-1,-1.662726283E0,-2.694599867E0,3.794888556E-1
8.785368300E-1,-2.109866381E0,-2.527075052E0,4.344651103E-1
8.882511010E-1,-2.402004242E0,-2.176448822E0,4.735593498E-1
8.979645380E-1,-2.547385693E0,-1.746412277E0,5.004366040E-1
9.076772470E-1,-2.581593275E0,-1.315154195E0,5.187620521E-1
9.173907880E-1,-2.554715872E0,-9.352071285E-1,5.431959033E-1
9.271051110E-1,-2.489966154E0,-5.955760479E-1,5.896202922E-1
9.368185490E-1,-2.402004242E0,-2.840439677E-1,6.494833231E-1
9.465312570E-1,-2.306559324E0,-1.527118124E-2,7.081246972E-1
9.562447990E-1,-2.207602024E0,1.948602796E-1,7.557707429E-1
9.659590700E-1,-2.111088037E0,3.133646548E-1,7.850914598E-1
9.756726110E-1,-2.026791096E0,2.828222811E-1,7.924215794E-1
9.853852680E-1,-1.954711199E0,3.848337755E-2,7.765395641E-1
9.950988090E-1,-1.900956631E0,-4.453076422E-1,7.545490861E-1
1.004813080E0,-1.845980406E0,-1.046381354E0,7.484406233E-1
1.014526622E0,-1.751909971E0,-1.561936498E0,7.557707429E-1
1.024239278E0,-1.595533013E0,-1.961430550E0,7.728744745E-1
1.033952820E0,-1.314543247E0,-2.412235737E0,7.594358325E-1
1.043667090E0,-9.590302110E-1,-2.789892197E0,7.288935184E-1
1.053380632E0,-6.511631608E-1,-2.857085228E0,7.044596076E-1
1.063093288E0,-4.385883212E-1,-2.666501045E0,6.665870547E-1
1.072806830E0,-3.445178568E-1,-2.323052168E0,6.262711287E-1
1.082521101E0,-3.787252903E-1,-1.867360115E0,5.786250830E-1
1.092234643E0,-5.228852630E-1,-1.272394896E0,5.175403357E-1
1.101947299E0,-7.134696245E-1,-6.688777208E-1,4.320217371E-1
1.111660840E0,-8.649597168E-1,-1.948602796E-1,3.306210935E-1
1.121375163E0,-9.394831061E-1,1.362189353E-1,2.451024652E-1
1.131088601E0,-9.260444641E-1,3.255815804E-1,1.815743446E-1
1.140801309E0,-8.502993584E-1,4.147652984E-1,1.412584335E-1
1.150514851E0,-7.281299233E-1,4.245388508E-1,1.241547018E-1
1.160229174E0,-5.277720094E-1,2.376195788E-1,8.872556686E-2
1.169942611E0,-2.907632887E-1,-6.658235192E-2,1.175880991E-2
1.179655320E0,-5.253286287E-2,-3.561239541E-1,-6.642963737E-2
1.189368913E0,1.747023165E-1,-5.296045542E-1,-1.250709742E-1
1.199083184E0,3.823903799E-1,-5.491516590E-1,-1.617218107E-1
1.208796726E0,5.668662786E-1,-4.428642690E-1,-1.898207814E-1
1.218509382E0,7.256865501E-1,-2.571666837E-1,-2.142546773E-1
1.228222924E0,8.637380004E-1,-3.603998944E-2,-2.484621257E-1
1.237937247E0,9.785773158E-1,1.740914732E-1,-2.961082160E-1
1.247650684E0,1.057987452E0,3.329117596E-1,-3.596363366E-1
1.257363445E0,1.103190184E0,4.404208660E-1,-4.427115619E-1
1.267076986E0,1.131289124E0,5.283828974E-1,-5.489989519E-1
1.276791257E0,1.161831498E0,6.798729897E-1,-6.809419990E-1
1.286504799E0,1.218029380E0,9.865183234E-1,-8.092198968E-1
1.296217455E0,1.287665963E0,1.440988660E0,-8.641961813E-1
1.305931049E0,1.297439575E0,1.839261055E0,-7.591304183E-1
1.315645320E0,1.132510781E0,1.849034667E0,-5.233433843E-1
1.325358861E0,7.855495811E-1,1.315154195E0,-2.948864996E-1
1.335071518E0,3.652866483E-1,4.721849263E-1,-2.081461996E-1
1.344785059E0,3.665083647E-2,-1.740914732E-1,-2.557922900E-1
1.354499382E0,-1.050657257E-1,-2.889307439E-1,-3.315373361E-1
1.364212820E0,-7.696675509E-2,-4.459185153E-2,-3.755183518E-1
1.373925580E0,3.665083647E-2,7.879929990E-2,-3.804051280E-1
1.383639122E0,1.294996142E-1,-1.973036677E-1,-3.461976945E-1
1.393353445E0,1.441599578E-1,-7.495095730E-1,-2.741177082E-1
1.403066986E0,3.420744836E-2,-1.277281642E0,-1.482831687E-1
1.412779643E0,-1.600419879E-1,-1.588813663E0,4.352286831E-2
1.422493184E0,-2.528907657E-1,-1.560714722E0,2.341072112E-1
1.432207507E0,-1.747023165E-1,-1.214975238E0,3.122956753E-1
1.441921049E0,-7.574506104E-2,-6.493306160E-1,1.534753740E-1
1.451633705E0,-7.818844914E-2,5.680879578E-2,-1.226275861E-1
1.461347247E0,-1.514901221E-1,6.261184216E-1,-2.728960216E-1
1.471061570E0,-1.759240031E-1,8.252546191E-1,-2.606790662E-1
1.480775111E0,-1.111742035E-1,6.762079000E-1,-1.727170646E-1
1.490487768E0,4.031591862E-2,4.831801951E-1,-8.964183182E-2
1.500201361E0,2.809897363E-1,5.381564498E-1,-1.634016447E-2
1.509915632E0,5.424323678E-1,7.812736630E-1,3.741439432E-2
1.519629174E0,7.220214605E-1,1.019504070E0,6.673506647E-2
1.529341830E0,7.745543122E-1,1.199093223E0,1.046075895E-1
1.539055424E0,7.269082665E-1,1.318819284E0,1.681357026E-1
1.548769747E0,6.389462352E-1,1.389677525E0,2.438807636E-1
1.558483184E0,5.913001299E-1,1.415333152E0,3.403946459E-1
1.568195945E0,6.511631608E-1,1.390899181E0,4.405735731E-1
1.577909486E0,8.234221339E-1,1.288276911E0,5.077667832E-1
1.587623809E0,1.043327093E0,1.135565042E0,5.822901726E-1
1.597337351E0,1.220472813E0,9.327637553E-1,6.739172339E-1
1.607050007E0,1.301104665E0,6.163448691E-1,6.788040400E-1
1.616763601E0,1.307213187E0,1.973036677E-1,5.297572613E-1
1.626477924E0,1.316986680E0,-2.229592502E-1,2.964136302E-1
1.636191361E0,1.386623263E0,-5.125008225E-1,9.727742523E-2
1.645904122E0,1.486802220E0,-5.760289431E-1,-2.367033064E-2
1.655617663E0,1.561325550E0,-4.526378214E-1,-1.006370857E-1
1.665331986E0,1.541778445E0,-2.437280566E-1,-1.653869003E-1
1.675045528E0,1.397618532E0,-9.712471068E-2,-2.313583940E-1
1.684758184E0,1.155722976E0,-9.590301663E-2,-3.034383655E-1
1.694471778E0,8.735115528E-1,-2.290677279E-1,-3.718532622E-1
1.704186101E0,6.157340407E-1,-3.817795515E-1,-4.231644273E-1
1.713899538E0,4.288147688E-1,-4.538595080E-1,-4.451549351E-1
1.723612299E0,3.396310806E-1,-4.062134326E-1,-4.256078303E-1
1.733325840E0,3.408527672E-1,-2.327328026E-1,-3.535278440E-1
1.743040163E0,3.836120665E-1,-3.359659761E-2,-2.460187376E-1
1.752753705E0,4.300364852E-1,1.020114943E-1,-1.495048702E-1
1.762466361E0,4.666872919E-1,1.740914732E-1,-1.018587798E-1
1.772179955E0,4.886777997E-1,2.058555335E-1,-1.091889441E-1
1.781894278E0,5.057815313E-1,2.266243398E-1,-1.397313178E-1
1.791607820E0,5.265503526E-1,2.718270421E-1,-1.458397806E-1
1.801320476E0,5.583143830E-1,3.561239541E-1,-1.006370857E-1
1.811034070E0,6.084038615E-1,4.391991794E-1,-4.566083103E-2
1.820748393E0,6.743753552E-1,4.795151055E-1,-2.244863659E-2
1.830461830E0,7.379034758E-1,4.660764635E-1,-2.977880463E-2
1.840174590E0,7.660024762E-1,3.903313875E-1,-5.421269313E-2
1.849888184E0,7.403468490E-1,2.583884001E-1,-8.231166750E-2
1.859602455E0,6.694886088E-1,1.117850468E-1,-9.575030953E-2
1.869315997E0,5.888567567E-1,-1.282779220E-2,-9.452861547E-2
1.879028705E0,5.387672782E-1,-9.101624042E-2,-8.597674966E-2
1.888742247E0,5.375455618E-1,-1.032331884E-1,-8.475505561E-2
1.898456570E0,5.656445622E-1,-5.192201585E-2,-8.719844371E-2
1.908170111E0,5.839699507E-1,3.115320951E-2,-7.253811508E-2
1.917882768E0,5.741963983E-1,1.252236813E-1,-4.321744293E-2
1.927596361E0,5.241069198E-1,2.217375487E-1,-1.511846948E-2
1.937310684E0,4.581354558E-1,3.170297146E-1,-1.756185852E-2
1.947024226E0,3.848337829E-1,4.172086716E-1,-4.932591692E-2
1.956736882E0,2.919849753E-1,5.222744346E-1,-9.208522737E-2
1.966450476E0,1.747023165E-1,6.383354068E-1,-1.262926757E-1
1.976164799E0,4.153761268E-2,7.653915882E-1,-1.324011385E-1
1.985878236E0,-9.895725548E-2,8.753440976E-1,-1.055238619E-1
1.995590997E0,-2.223484069E-1,9.523108602E-1,-5.054761097E-2
2.005304590E0,-3.127537966E-1,9.962918758E-1,2.519745007E-2
2.015018913E0,-3.665083647E-1,1.017060637E0,1.278197914E-1
2.024732351E0,-3.860554695E-1,1.001178622E0,2.353289127E-1
2.034445111E0,-3.701734245E-1,9.352071285E-1,3.281776905E-1
2.044158705E0,-3.090887070E-1,8.240329623E-1,3.990359604E-1
2.053873028E0,-2.150182426E-1,6.627692580E-1,4.515688419E-1
2.063586465E0,-1.038440317E-1,4.599680007E-1,4.808894992E-1
2.073299226E0,2.932066843E-2,2.877090573E-1,4.845545888E-1
2.083012820E0,1.527118087E-1,1.716480851E-1,4.540122151E-1
2.092727090E0,2.651077211E-1,7.757759839E-2,3.904841244E-1
2.102440632E0,3.713951409E-1,-2.015795931E-2,2.890834510E-1
2.112153340E0,4.202629030E-1,-1.777565479E-1,1.033858955E-1
2.121866882E0,3.335226178E-1,-4.807367921E-1,-1.885990947E-1
2.131581205E0,1.123958975E-1,-9.119949341E-1,-4.756973088E-1
2.141294747E0,-1.869192570E-1,-1.283390045E0,-6.271874309E-1
