"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.198167700E-2,-1.755135417E0,-1.004776096E1,5.286941528E0
6.169454200E-2,-1.544566989E0,-9.980762482E0,5.234000206E0
7.140646900E-2,-1.384247899E0,-9.887442589E0,4.147359848E0
8.111766700E-2,-1.087238789E0,-9.930513382E0,1.875374794E0
9.082969800E-2,-9.723833203E-1,-9.885049820E0,-1.016949654E0
1.005425100E-1,-1.017846942E0,-9.703194618E0,-3.101995468E0
1.102544900E-1,-1.391426325E0,-9.544969559E0,-3.870689631E0
1.199656870E-1,-1.867897153E0,-9.516255379E0,-3.604787350E0
1.296776670E-1,-2.253141642E0,-9.530612946E0,-2.556132793E0
1.393905310E-1,-2.269891262E0,-9.451649666E0,-1.332802176E0
1.491024580E-1,-2.033001900E0,-9.159725189E0,-3.032902777E-1
1.588137080E-1,-1.649851203E0,-8.795717239E0,3.406781256E-1
1.685256870E-1,-1.365105271E0,-8.245068550E0,5.871388316E-1
1.782385000E-1,-1.209272742E0,-7.689634800E0,5.751747489E-1
1.879504790E-1,-1.101595759E0,-7.239484787E0,5.919244885E-1
1.976616770E-1,-1.211665511E0,-6.705586433E0,6.732804775E-1
2.073737080E-1,-1.331605792E0,-6.274878502E0,7.549355626E-1
2.170865210E-1,-1.379462242E0,-5.879763603E0,7.573283911E-1
2.267984480E-1,-1.635494232E0,-5.513362408E0,7.091727853E-1
2.365096980E-1,-2.255534410E0,-5.115854740E0,8.243274093E-1
2.462216770E-1,-2.954836845E0,-4.768895626E0,6.134598851E-1
2.559344900E-1,-3.299403429E0,-4.622933388E0,4.339981973E-1
2.656464690E-1,-3.299403429E0,-4.615755081E0,3.382852972E-1
2.753576670E-1,-3.186940670E0,-4.716253281E0,1.971087605E-1
2.850696980E-1,-3.029014349E0,-4.960321426E0,8.673982322E-2
2.947825100E-1,-2.801397085E0,-5.312365532E0,2.377867550E-1
3.044944370E-1,-2.454437733E0,-5.680860043E0,-5.922235921E-2
