"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.104684300E-2,1.610967875E0,-7.420741320E-1,-9.719346046E0
6.076106200E-2,1.608574986E0,-7.444669604E-1,-9.695418358E0
7.047377000E-2,1.601396561E0,-7.707880139E-1,-9.709774971E0
8.018798900E-2,1.606182218E0,-7.755736113E-1,-9.731310844E0
8.990142700E-2,1.589432478E0,-7.660023570E-1,-9.767203331E0
9.961408300E-2,1.565504193E0,-7.707880139E-1,-9.776774406E0
1.093276240E-1,1.577468276E0,-7.660023570E-1,-9.786345482E0
1.190418950E-1,1.587039590E0,-7.827520967E-1,-9.752845764E0
1.287552810E-1,1.579861164E0,-8.018946648E-1,-9.740881920E0
1.384679890E-1,1.567897081E0,-8.186444640E-1,-9.755238533E0
1.481814270E-1,1.553241014E0,-8.138588071E-1,-9.781559944E0
1.578957490E-1,1.546062589E0,-8.210372925E-1,-9.776774406E0
1.676091350E-1,1.553241014E0,-7.947162390E-1,-9.760024071E0
1.773218430E-1,1.572682738E0,-7.731808424E-1,-9.748060226E0
1.870352810E-1,1.582253933E0,-7.660023570E-1,-9.726525307E0
1.967496040E-1,1.579861164E0,-7.492526174E-1,-9.721739769E0
2.064629890E-1,1.603789330E0,-7.516453862E-1,-9.736096382E0
2.161756970E-1,1.615753531E0,-7.468597889E-1,-9.762416840E0
2.258891350E-1,1.603789330E0,-7.564310431E-1,-9.793523788E0
2.356034580E-1,1.587039590E0,-7.588238716E-1,-9.862915993E0
2.453168950E-1,1.575075507E0,-7.588238716E-1,-9.685847282E0
2.550295520E-1,1.550848126E0,-7.444669604E-1,-9.736096382E0
2.647429890E-1,1.582253933E0,-7.516453862E-1,-9.934999466E0
2.744573120E-1,1.613360643E0,-7.588238716E-1,-9.764810562E0
2.841707490E-1,1.613360643E0,-7.420741320E-1,-9.635597229E0
2.938834060E-1,1.625324726E0,-7.564310431E-1,-9.805487633E0
3.035969470E-1,1.642074585E0,-7.755736113E-1,-9.795916557E0
3.133111660E-1,1.618146300E0,-7.803592682E-1,-9.604491234E0
3.230246040E-1,1.579861164E0,-7.803592682E-1,-9.707382202E0
3.327372600E-1,1.563111424E0,-8.018946648E-1,-9.923035622E0
3.424508020E-1,1.558026671E0,-7.971090674E-1,-9.803094864E0
3.521650200E-1,1.538884044E0,-7.588238716E-1,-9.719346046E0
3.618784580E-1,1.538884044E0,-7.444669604E-1,-9.915857315E0
3.715911140E-1,1.560718536E0,-7.229315639E-1,-9.910772324E0
3.813046560E-1,1.575075507E0,-7.109674215E-1,-9.683454514E0
3.910189270E-1,1.565504193E0,-7.037889361E-1,-9.752845764E0
4.007323120E-1,1.563111424E0,-7.277171612E-1,-9.886843681E0
4.104449680E-1,1.587039590E0,-7.827520967E-1,-9.712167740E0
4.201585100E-1,1.577468276E0,-8.114659786E-1,-9.587740898E0
4.298727810E-1,1.560718536E0,-8.497511148E-1,-9.807881355E0
4.395861660E-1,1.572682738E0,-8.641080856E-1,-9.824630737E0
4.492988220E-1,1.577468276E0,-8.473583460E-1,-9.669096947E0
4.590123640E-1,1.577468276E0,-8.234301209E-1,-9.798309326E0
4.687266350E-1,1.606182218E0,-8.114659786E-1,-9.987641335E0
4.784400200E-1,1.630110383E0,-7.923234105E-1,-9.807881355E0
4.881527290E-1,1.620539188E0,-7.492526174E-1,-9.704989433E0
4.978661660E-1,1.587039590E0,-7.205387354E-1,-9.889236450E0
5.075804890E-1,1.601396561E0,-7.157530785E-1,-9.831809044E0
5.172938740E-1,1.608574986E0,-7.061817646E-1,-9.654740334E0
5.270065830E-1,1.589432478E0,-7.253243923E-1,-9.767203331E0
5.367200200E-1,1.577468276E0,-7.468597889E-1,-9.903594017E0
5.464343430E-1,1.582253933E0,-7.564310431E-1,-9.721739769E0
5.561477290E-1,1.565504193E0,-7.420741320E-1,-9.654740334E0
5.658604370E-1,1.572682738E0,-7.564310431E-1,-9.846165657E0
5.755738740E-1,1.587039590E0,-7.779664397E-1,-9.810274124E0
5.852881970E-1,1.584646821E0,-7.755736113E-1,-9.645169258E0
5.950015830E-1,1.575075507E0,-7.660023570E-1,-9.769596100E0
6.047142910E-1,1.584646821E0,-7.803592682E-1,-9.913165092E0
6.144277290E-1,1.596610904E0,-7.899305820E-1,-9.740881920E0
6.241420520E-1,1.570289850E0,-7.923234105E-1,-9.714560509E0
6.338554890E-1,1.565504193E0,-8.042874932E-1,-9.913165092E0
6.435681450E-1,1.567897081E0,-8.306085467E-1,-9.853344917E0
6.532815830E-1,1.558026671E0,-8.186444640E-1,-9.666704178E0
6.629959060E-1,1.543669701E0,-7.971090674E-1,-9.788738251E0
6.727093430E-1,1.546062589E0,-7.947162390E-1,-9.898808479E0
6.824219990E-1,1.567897081E0,-7.755736113E-1,-9.714560509E0
6.921355410E-1,1.572682738E0,-7.588238716E-1,-9.657133102E0
7.018497600E-1,1.567897081E0,-7.348956466E-1,-9.843772888E0
7.115631970E-1,1.584646821E0,-7.516453862E-1,-9.793523788E0
7.212758540E-1,1.558026671E0,-7.468597889E-1,-9.640383720E0
7.309893950E-1,1.553241014E0,-7.420741320E-1,-9.783952713E0
7.407036660E-1,1.577468276E0,-7.731808424E-1,-9.870094299E0
7.504170520E-1,1.575075507E0,-7.755736113E-1,-9.831809044E0
7.601297600E-1,1.587039590E0,-7.851449251E-1,-9.836594582E0
7.698431970E-1,1.596610904E0,-7.731808424E-1,-9.834201813E0
7.795575200E-1,1.610967875E0,-7.707880139E-1,-9.836594582E0
7.892709060E-1,1.637288928E0,-7.564310431E-1,-9.822237968E0
7.989836140E-1,1.639681697E0,-7.612167001E-1,-9.810274124E0
8.086970520E-1,1.637288928E0,-7.636095285E-1,-9.783952713E0
8.184113740E-1,1.632503271E0,-7.683951855E-1,-9.750452995E0
8.281248120E-1,1.613360643E0,-7.755736113E-1,-9.743274689E0
8.378374680E-1,1.606182218E0,-7.851449251E-1,-9.740881920E0
8.475510100E-1,1.582253933E0,-7.827520967E-1,-9.755238533E0
8.572652290E-1,1.558026671E0,-7.731808424E-1,-9.760024071E0
8.669786660E-1,1.546062589E0,-7.588238716E-1,-9.760024071E0
8.766913220E-1,1.536491275E0,-7.468597889E-1,-9.769596100E0
8.864048640E-1,1.550848126E0,-7.396813035E-1,-9.805487633E0
8.961191350E-1,1.555633783E0,-7.396813035E-1,-9.815059662E0
9.058325200E-1,1.550848126E0,-7.540382147E-1,-9.817452431E0
9.155452290E-1,1.543669701E0,-7.779664397E-1,-9.812666893E0
9.252586660E-1,1.526919961E0,-7.899305820E-1,-9.810274124E0
9.349729890E-1,1.519741535E0,-8.210372925E-1,-9.810274124E0
9.446864270E-1,1.507777333E0,-8.330013752E-1,-9.810274124E0
9.543990830E-1,1.538884044E0,-8.330013752E-1,-9.795916557E0
9.641126240E-1,1.563111424E0,-8.282157183E-1,-9.788738251E0
9.738268950E-1,1.596610904E0,-7.995018363E-1,-9.812666893E0
9.835402810E-1,1.630110383E0,-7.971090674E-1,-9.795916557E0
9.932529890E-1,1.618146300E0,-7.660023570E-1,-9.788738251E0
1.002966427E0,1.601396561E0,-7.564310431E-1,-9.767203331E0
1.012680749E0,1.575075507E0,-7.468597889E-1,-9.764810562E0
1.022394187E0,1.567897081E0,-7.372884750E-1,-9.769596100E0
1.032106843E0,1.584646821E0,-7.325028181E-1,-9.776774406E0
1.041820385E0,1.594218135E0,-7.396813035E-1,-9.795916557E0
1.051534656E0,1.603789330E0,-7.492526174E-1,-9.800702095E0
1.061248041E0,1.601396561E0,-7.444669604E-1,-9.776774406E0
1.070960749E0,1.601396561E0,-7.492526174E-1,-9.764810562E0
1.080674291E0,1.599003673E0,-7.588238716E-1,-9.745667458E0
1.090388510E0,1.594218135E0,-7.683951855E-1,-9.738489151E0
1.100101947E0,1.582253933E0,-7.683951855E-1,-9.716953278E0
1.109814656E0,1.550848126E0,-7.540382147E-1,-9.728918076E0
1.119528093E0,1.546062589E0,-7.660023570E-1,-9.745667458E0
1.129242416E0,1.558026671E0,-7.540382147E-1,-9.774381638E0
1.138955854E0,1.558026671E0,-7.660023570E-1,-9.786345482E0
1.148668510E0,1.546062589E0,-7.683951855E-1,-9.781559944E0
1.158382052E0,1.529312730E0,-7.923234105E-1,-9.798309326E0
1.168096322E0,1.514955878E0,-8.234301209E-1,-9.819845200E0
