"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.242012000E-2,-2.832503796E0,-9.413364410E0,-4.486542568E-2
6.213439100E-2,-2.806182861E0,-9.408578873E0,-7.118647546E-2
7.184704700E-2,-2.791825771E0,-9.427721024E0,-8.075776696E-2
8.156064100E-2,-2.760719061E0,-9.461220741E0,-1.118644550E-1
9.127491200E-2,-2.729612350E0,-9.480362892E0,-1.166501045E-1
1.009884010E-1,-2.734398127E0,-9.504291534E0,-1.262213886E-1
1.107011100E-1,-2.741576433E0,-9.497113228E0,-1.214357466E-1
1.204146510E-1,-2.746362209E0,-9.480362892E0,-1.214357466E-1
1.301289740E-1,-2.782254457E0,-9.482755661E0,-1.477568001E-1
1.398424120E-1,-2.827718258E0,-9.468399048E0,-1.621137410E-1
1.495551720E-1,-2.846860647E0,-9.475577354E0,-1.884347796E-1
1.592686620E-1,-2.858824968E0,-9.439684868E0,-2.147558331E-1
1.689830370E-1,-2.842075109E0,-9.394221306E0,-2.171486616E-1
1.786964740E-1,-2.813361168E0,-9.394221306E0,-2.147558331E-1
1.884091830E-1,-2.779861689E0,-9.396614075E0,-1.764706671E-1
1.981227760E-1,-2.751147747E0,-9.406186104E0,-1.238285750E-1
2.078370470E-1,-2.736790895E0,-9.434899330E0,-1.238285750E-1
2.175505370E-1,-2.710469961E0,-9.458827972E0,-9.750752151E-2
2.272632450E-1,-2.705684185E0,-9.473184586E0,1.178465188E-1
2.369767350E-1,-2.720041037E0,-9.470791817E0,-1.375873014E-2
2.466911100E-1,-2.710469961E0,-9.463613510E0,-1.381855011E-1
2.564045470E-1,-2.732005358E0,-9.439684868E0,6.041877344E-2
2.661172560E-1,-2.784647465E0,-9.418149948E0,9.152546525E-2
2.758308490E-1,-2.818146944E0,-9.425328255E0,-1.573280841E-1
2.855451200E-1,-2.818146944E0,-9.406186104E0,-1.262213886E-1
2.952586100E-1,-2.849253654E0,-9.430113792E0,-6.580262445E-3
3.049713180E-1,-2.846860647E0,-9.418149948E0,-2.171486616E-1
3.146848080E-1,-2.827718258E0,-9.454042435E0,-4.016951025E-1
3.243991830E-1,-2.806182861E0,-9.473184586E0,-2.434697002E-1
3.341126200E-1,-2.808575630E0,-9.485149384E0,-2.530409992E-1
3.438253810E-1,-2.789433002E0,-9.477970123E0,-4.639084935E-1
3.535388700E-1,-2.779861689E0,-9.482755661E0,-3.487538993E-1
3.632531930E-1,-2.775076151E0,-9.468399048E0,-1.333998591E-1
3.729666830E-1,-2.787040234E0,-9.470791817E0,-2.434697002E-1
3.826793910E-1,-2.784647465E0,-9.466006279E0,-2.985046208E-1
3.923929850E-1,-2.787040234E0,-9.451649666E0,-4.725824669E-2
4.021072560E-1,-2.832503796E0,-9.422935486E0,5.982056609E-4
4.118207450E-1,-2.827718258E0,-9.418149948E0,-1.908276081E-1
4.215334530E-1,-2.813361168E0,-9.410971642E0,-7.836493850E-2
4.312469430E-1,-2.810968399E0,-9.399007797E0,9.391828626E-2
4.409613180E-1,-2.820539713E0,-9.401400566E0,-6.640082598E-2
4.506747560E-1,-2.808575630E0,-9.403793335E0,-1.836491376E-1
4.603874640E-1,-2.799004316E0,-9.403793335E0,-6.580262445E-3
