"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.837283500E-1,-4.886778072E-3,-2.626643144E-2,1.985253533E-3
1.934418400E-1,-3.665083554E-3,-1.160609815E-2,1.985253533E-3
2.031562670E-1,-4.886778072E-3,5.497625098E-3,7.635590737E-4
2.128697570E-1,-2.443389036E-3,2.626643144E-2,-4.581354442E-4
2.225824650E-1,1.221694518E-3,3.603998944E-2,7.635590737E-4
2.322960590E-1,2.443389036E-3,3.481829539E-2,-4.581354442E-4
2.420103820E-1,3.665083554E-3,2.748812735E-2,1.985253533E-3
2.517238710E-1,2.443389036E-3,1.771457121E-2,1.985253533E-3
2.614366320E-1,-2.443389036E-3,7.941014133E-3,3.206948051E-3
2.711502250E-1,-7.330167107E-3,-6.108472589E-4,3.206948051E-3
2.808645480E-1,-1.221694518E-2,-4.275931045E-3,4.428642802E-3
2.905780380E-1,-1.466033421E-2,-7.941014133E-3,3.206948051E-3
3.002907980E-1,-1.466033421E-2,-7.941014133E-3,3.206948051E-3
3.100043920E-1,-1.221694518E-2,-9.162709117E-3,3.206948051E-3
3.197187150E-1,-7.330167107E-3,-3.054236295E-3,7.635590737E-4
3.294322040E-1,-2.443389036E-3,5.497625098E-3,-4.581354442E-4
3.391449650E-1,2.443389036E-3,1.282779220E-2,-4.581354442E-4
3.488584540E-1,6.108472589E-3,1.527118124E-2,-1.679830020E-3
3.585728290E-1,8.551862091E-3,1.160609815E-2,-2.901524538E-3
3.682863190E-1,7.330167107E-3,6.108472589E-4,-2.901524538E-3
3.779990790E-1,2.443389036E-3,-7.941014133E-3,-4.123218823E-3
3.877126730E-1,-0.000000000E0,-1.893626526E-2,-5.344913341E-3
3.974269960E-1,-3.665083554E-3,-2.993151546E-2,-5.344913341E-3
4.071404860E-1,-8.551862091E-3,-3.848337755E-2,-4.123218823E-3
4.168532460E-1,-1.099525020E-2,-3.970507160E-2,-1.679830020E-3
4.265668400E-1,-1.343864016E-2,-3.481829539E-2,7.635590737E-4
4.362811630E-1,-1.221694518E-2,-2.382304333E-2,-4.581354442E-4
4.459946520E-1,-1.099525020E-2,-9.162709117E-3,-1.679830020E-3
4.557074130E-1,-9.773556143E-3,4.275931045E-3,-4.123218823E-3
4.654210070E-1,-6.108472589E-3,1.527118124E-2,-6.566607859E-3
4.751353290E-1,-1.221694518E-3,1.771457121E-2,-1.023169141E-2
4.848488190E-1,2.443389036E-3,1.771457121E-2,-9.009997360E-3
4.945615790E-1,4.886778072E-3,1.282779220E-2,-7.788302377E-3
5.042751730E-1,4.886778072E-3,9.162709117E-3,-5.344913341E-3
5.139894960E-1,-0.000000000E0,3.054236295E-3,-2.901524538E-3
5.237029860E-1,-4.886778072E-3,-5.497625098E-3,7.635590737E-4
5.334157460E-1,-1.099525020E-2,-1.527118124E-2,3.206948051E-3
5.431293400E-1,-1.710372418E-2,-2.015795931E-2,1.985253533E-3
5.528436630E-1,-2.321219631E-2,-2.015795931E-2,-1.679830020E-3
5.625571520E-1,-2.687728032E-2,-1.282779220E-2,-6.566607859E-3
5.722699130E-1,-2.199050039E-2,-1.832541777E-3,-1.023169141E-2
5.819835070E-1,-1.466033421E-2,4.275931045E-3,-9.009997360E-3
5.916978290E-1,-3.665083554E-3,1.160609815E-2,-6.566607859E-3
6.014113190E-1,6.108472589E-3,1.649287529E-2,-1.679830020E-3
6.111240790E-1,1.221694518E-2,1.649287529E-2,1.985253533E-3
6.208376730E-1,1.221694518E-2,1.404948719E-2,5.650337320E-3
6.305519960E-1,7.330167107E-3,4.275931045E-3,6.872031838E-3
6.402654860E-1,2.443389036E-3,-7.941014133E-3,8.093725890E-3
6.499782460E-1,-4.886778072E-3,-2.260134928E-2,6.872031838E-3
