"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.686280220E-1,2.748812735E-1,-9.162709117E-3,-1.189625040E-1
1.783414590E-1,3.188622594E-1,8.979454637E-2,-1.165191159E-1
1.880557820E-1,3.469612300E-1,2.229592502E-1,-1.140757278E-1
1.977691680E-1,3.506263196E-1,3.720059693E-1,-1.226275861E-1
2.074818240E-1,3.347443044E-1,5.039489865E-1,-1.385096163E-1
2.171952610E-1,2.956500649E-1,5.821374655E-1,-1.470614821E-1
2.269095320E-1,2.333436459E-1,5.784723759E-1,-1.324011385E-1
2.366229180E-1,1.527118087E-1,4.917320311E-1,-1.006370857E-1
2.463355740E-1,6.352811307E-2,3.316900730E-1,-7.253811508E-2
2.560490110E-1,2.443389036E-3,1.349972486E-1,-4.932591692E-2
2.657633340E-1,-0.000000000E0,-8.368607610E-2,-3.710897267E-2
2.754767200E-1,6.108472496E-2,-3.145863414E-1,-4.688252881E-2
2.851893760E-1,1.502684206E-1,-5.234960914E-1,-9.208522737E-2
2.949028130E-1,2.150182426E-1,-6.322268844E-1,-1.360662282E-1
3.046170840E-1,2.309002578E-1,-6.053496599E-1,-1.592784226E-1
3.143304700E-1,2.113531530E-1,-4.355340898E-1,-1.641651988E-1
3.240431260E-1,1.637070626E-1,-1.838650256E-1,-1.714953631E-1
3.337565630E-1,5.131116882E-2,6.047387794E-2,-2.044811249E-1
3.434708860E-1,-1.649287641E-1,2.461714447E-1,-2.790044844E-1
3.531842720E-1,-4.898995161E-1,3.793361485E-1,-3.388675153E-1
3.628969280E-1,-8.661814332E-1,4.697415531E-1,-3.034383655E-1
3.726103660E-1,-1.211920977E0,5.296045542E-1,-1.568350345E-1
3.823246360E-1,-1.519788027E0,5.405998230E-1,5.818320066E-2
3.920380220E-1,-1.826433301E0,5.308262706E-1,3.000787199E-1
4.017506780E-1,-2.148960590E0,5.515950918E-1,5.346440673E-1
4.114642200E-1,-2.475305796E0,6.053496599E-1,7.288935184E-1
4.211784380E-1,-2.761182308E0,6.676560640E-1,8.620582223E-1
4.308918240E-1,-2.967648745E0,7.434011102E-1,9.292513728E-1
4.406044800E-1,-3.069049358E0,8.350282311E-1,9.365815520E-1
4.503179180E-1,-3.061719179E0,9.303203821E-1,9.133693576E-1
4.600322410E-1,-2.961540222E0,1.015838981E0,8.632798791E-1
4.697456260E-1,-2.791724682E0,1.098914266E0,8.034168482E-1
4.794582820E-1,-2.582814932E0,1.192984700E0,7.582141757E-1
4.891717200E-1,-2.345806122E0,1.271173120E0,7.301151752E-1
4.988859910E-1,-2.111088037E0,1.304158926E0,7.044596076E-1
5.085994280E-1,-1.897291541E0,1.271173120E0,6.824691296E-1
5.183120840E-1,-1.711593986E0,1.149003744E0,6.580352187E-1
5.280255220E-1,-1.534448266E0,8.008207679E-1,6.409314871E-1
5.377397930E-1,-1.313321590E0,-6.291726977E-2,6.421532035E-1
5.474531780E-1,-1.158166409E0,-1.098914266E0,6.702521443E-1
5.571658340E-1,-1.189930439E0,-1.828265905E0,6.653653979E-1
5.668793760E-1,-1.334090471E0,-2.067718029E0,6.274928451E-1
5.765935950E-1,-1.463590026E0,-1.792836666E0,5.602996349E-1
5.863069800E-1,-1.525896430E0,-1.133121610E0,4.613423944E-1
5.960196360E-1,-1.539335132E0,-3.109212518E-1,3.623851240E-1
6.057330740E-1,-1.497797489E0,4.795151055E-1,3.110739589E-1
6.154473970E-1,-1.407392025E0,1.024390817E0,3.306210935E-1
6.251607820E-1,-1.273005724E0,1.252847672E0,3.855973184E-1
6.348734380E-1,-1.093416572E0,1.197871447E0,4.393518865E-1
6.445868760E-1,-8.918370008E-1,8.802309036E-1,4.650074840E-1
6.543011990E-1,-7.232431769E-1,3.939964771E-1,4.454603493E-1
6.640145840E-1,-5.974085927E-1,-6.780404598E-2,3.990359604E-1
6.737272410E-1,-4.972296655E-1,-3.365768492E-1,3.428380191E-1
6.834406780E-1,-3.970507085E-1,-3.927747905E-1,2.524326444E-1
6.931550010E-1,-2.602209449E-1,-3.243598938E-1,1.217113137E-1
7.028683860E-1,-5.375456065E-2,-2.583884001E-1,-2.122694254E-2
7.125810430E-1,2.345653474E-1,-2.351761907E-1,-1.446180940E-1
7.222944800E-1,5.815265775E-1,-2.657185495E-1,-2.423536479E-1
7.320088030E-1,9.541434050E-1,-3.549022675E-1,-3.400892019E-1
7.417221880E-1,1.321873426E0,-4.672981501E-1,-4.512633979E-1
7.514348450E-1,1.657839417E0,-5.589252710E-1,-5.929799676E-1
7.611483860E-1,1.937607527E0,-6.041279435E-1,-7.811209559E-1
7.708626050E-1,2.122083426E0,-5.735855699E-1,-1.008356094E0
7.805759910E-1,2.155069113E0,-3.952181637E-1,-1.229482770E0
7.902886470E-1,1.990140319E0,1.893626526E-2,-1.367534280E0
8.000021880E-1,1.692046881E0,6.212316751E-1,-1.318666577E0
8.097164070E-1,1.370741248E0,1.200314879E0,-1.045006990E0
8.194298450E-1,1.048213840E0,1.565601468E0,-6.577298045E-1
8.291425010E-1,6.841489077E-1,1.619356036E0,-3.681881726E-1
8.388559380E-1,2.785463631E-1,1.387234092E0,-2.863346636E-1
8.485702610E-1,-9.895725548E-2,8.301414251E-1,-3.498627543E-1
8.582836470E-1,-3.775036037E-1,1.154501289E-1,-4.304946065E-1
8.679963030E-1,-5.265503526E-1,-4.416425824E-1,-4.439332485E-1
8.777097410E-1,-5.925218463E-1,-7.824953198E-1,-3.461976945E-1
8.874240630E-1,-6.499415040E-1,-1.149003744E0,-1.409530044E-1
8.971374490E-1,-7.501204610E-1,-1.670667291E0,5.085303262E-2
9.068501570E-1,-8.930587173E-1,-2.198439360E0,1.510319859E-1
9.165635950E-1,-1.039662004E0,-2.487980843E0,1.937913001E-1
9.262778660E-1,-1.082421303E0,-2.396353722E0,2.402156889E-1
9.359913030E-1,-8.637380004E-1,-1.926001430E0,2.206685692E-1
9.457039590E-1,-4.165978432E-1,-1.100135922E0,7.040014863E-2
9.554173970E-1,8.429691941E-2,-8.612946421E-2,-9.575030953E-2
9.651317200E-1,5.387672782E-1,8.252546191E-1,-1.409530044E-1
9.748451050E-1,9.052756429E-1,1.561936498E0,-7.742489129E-2
9.845578130E-1,1.076312900E0,1.955322027E0,4.107947648E-2
9.942712510E-1,1.042105436E0,1.884463787E0,8.994726092E-2
1.003985574E0,1.009119630E0,1.591257095E0,6.429167092E-2
1.013698959E0,1.090973258E0,1.321262598E0,7.162184268E-2
1.023411616E0,1.226581335E0,1.113574505E0,1.204896197E-1
1.033125157E0,1.340198874E0,1.062263370E0,1.962346882E-1
1.042839376E0,1.413500547E0,1.178324342E0,2.719797492E-1
1.052552813E0,1.446486354E0,1.311489105E0,3.367295563E-1
1.062265470E0,1.462368369E0,1.261399627E0,3.843756318E-1
1.071978907E0,1.474585295E0,9.926267862E-1,4.198047817E-1
1.081693230E0,1.492910743E0,6.334486008E-1,4.601207078E-1
1.091406668E0,1.503905892E0,2.632751763E-1,5.370874405E-1
1.101119324E0,1.478250384E0,-8.246438205E-2,6.568135023E-1
1.110832761E0,1.418387294E0,-4.526378214E-1,7.472189069E-1
1.120547084E0,1.376849771E0,-8.118160367E-1,7.728744745E-1
1.130260470E0,1.426939249E0,-1.125791550E0,7.411104441E-1
1.139973178E0,1.538113356E0,-1.392120957E0,6.323796511E-1
1.149686616E0,1.615080118E0,-1.422663212E0,4.185830951E-1
1.159400938E0,1.551552057E0,-1.151447058E0,1.070509851E-1
1.169114324E0,1.360967636E0,-7.983773947E-1,-2.313583940E-1
1.178827032E0,1.121515512E0,-5.161659122E-1,-4.952444136E-1
1.188540470E0,9.003888369E-1,-3.414636254E-1,-6.357392669E-1
1.198254793E0,7.012526393E-1,-2.974826097E-1,-6.516213417E-1
1.207968178E0,5.277720094E-1,-3.573456407E-1,-5.978667736E-1
1.217680886E0,4.031592011E-1,-4.306473136E-1,-5.428904891E-1
1.227394324E0,3.347443044E-1,-4.831801951E-1,-5.111264586E-1
1.237108647E0,3.347443044E-1,-5.405998230E-1,-5.099047422E-1
1.246822032E0,4.043808877E-1,-6.432221532E-1,-5.404471159E-1
1.256534741E0,5.289937258E-1,-7.580614686E-1,-5.807630420E-1
1.266248178E0,6.548282504E-1,-7.898254991E-1,-5.880932212E-1
1.275962501E0,7.379034758E-1,-6.920899153E-1,-5.392253995E-1
1.285675938E0,7.721109390E-1,-4.636330605E-1,-4.439332485E-1
1.295388595E0,7.757760286E-1,-1.484358907E-1,-3.413109183E-1
1.305102032E0,7.635591030E-1,1.618745178E-1,-2.667875290E-1
1.314816355E0,7.574505806E-1,3.610107303E-1,-2.276933193E-1
1.324529793E0,7.562289238E-1,4.428642690E-1,-1.959292591E-1
1.334242449E0,7.403468490E-1,4.758500159E-1,-1.543916464E-1
1.343955991E0,6.975875497E-1,4.819584787E-1,-1.030804738E-1
1.353670209E0,6.255075932E-1,4.501944184E-1,-5.909947306E-2
1.363383647E0,5.485408306E-1,3.622324169E-1,-3.344388679E-2
1.373096303E0,4.984513521E-1,2.217375487E-1,-2.611372061E-2
1.382809845E0,4.898995161E-1,7.269082218E-2,-2.489202656E-2
1.392524116E0,5.155550838E-1,-3.481829539E-2,-3.344388679E-2
1.402237501E0,5.607577562E-1,-6.047387794E-2,-5.054761097E-2
1.411950209E0,6.084038615E-1,6.108472589E-4,-7.986827940E-2
1.421663647E0,6.389462352E-1,1.447708011E-1,-1.067455560E-1
1.431377970E0,6.352811456E-1,3.451287150E-1,-1.250709742E-1
1.441091407E0,5.754181147E-1,5.564818382E-1,-1.226275861E-1
1.450804063E0,4.495835900E-1,7.226322889E-1,-7.742489129E-2
1.460517605E0,2.675510943E-1,7.715001106E-1,-2.901524538E-3
1.470231824E0,6.352811307E-2,6.639909744E-1,6.062658876E-2
1.479945261E0,-1.062874198E-1,4.257605374E-1,1.009425074E-1
1.489657918E0,-2.003578991E-1,1.276670843E-1,1.339282542E-1
1.499371459E0,-2.064663768E-1,-1.655396074E-1,1.522536725E-1
1.509085730E0,-1.343863904E-1,-4.147652984E-1,1.253764033E-1
1.518799116E0,8.551862091E-3,-5.943543911E-1,4.352286831E-2
1.528511824E0,1.942494214E-1,-6.762079000E-1,-6.154286116E-2
1.538225261E0,3.432961702E-1,-6.261184216E-1,-1.580567211E-1
1.547939584E0,3.616215885E-1,-4.306473136E-1,-2.386885732E-1
1.557653022E0,2.211267054E-1,-1.386623234E-1,-2.961082160E-1
1.567365678E0,-5.864133686E-2,1.582094431E-1,-3.168770075E-1
1.577079220E0,-4.605788291E-1,3.817795515E-1,-3.095468581E-1
