"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.910370500E-2,1.069890857E0,-1.201825047E1,-3.985545158E0
4.881578800E-2,-1.992024779E-1,-1.034716320E1,-3.205185890E0
5.853245500E-2,-6.275177598E-1,-8.956035614E0,-2.977568626E0
6.844099700E-2,-4.791627228E-1,-8.012965202E0,-2.266601324E0
7.834917400E-2,-4.815555736E-2,-7.818847179E0,-1.919342875E0
8.825688200E-2,3.155534863E-1,-9.020642281E0,-2.728715181E0
9.816459000E-2,9.810572863E-1,-1.039023399E1,-3.078067303E0
1.080725070E-1,2.058425665E0,-1.079013443E1,-1.902593136E0
1.179804240E-1,2.796013355E0,-1.042134094E1,-6.002993584E-1
1.278882360E-1,2.824727058E0,-9.607182503E0,5.084748194E-2
1.377960490E-1,1.811964989E0,-9.202795982E0,-7.079764009E-1
1.477039130E-1,-8.790631890E-1,-9.851550102E0,-3.188436270E0
1.576117780E-1,-2.214856386E0,-1.073958588E1,-3.918546200E0
1.675195900E-1,-2.231307179E-1,-1.108923721E1,-2.570489645E0
1.774274030E-1,2.319542408E0,-1.066540909E1,-5.213362575E-1
1.873352680E-1,2.903690338E0,-9.932906151E0,1.022931695E0
1.972431320E-1,2.678465843E0,-9.288937569E0,1.564008713E0
2.071509450E-1,2.283650160E0,-8.834002495E0,1.372582912E0
2.170587570E-1,2.130509377E0,-8.592327118E0,1.015753269E0
2.269665700E-1,2.223829508E0,-8.527720451E0,8.482556343E-1
2.368743820E-1,2.479861498E0,-8.580363274E0,6.684948206E-1
2.467821950E-1,2.937189817E0,-8.711968422E0,4.651049078E-1
2.566900070E-1,3.593122244E0,-9.097511292E0,-1.615155302E-2
2.665978200E-1,4.339982033E0,-9.813264847E0,1.106680483E-1
2.765056320E-1,5.113461971E0,-1.063908768E1,4.483551383E-1
2.864134450E-1,5.587540150E0,-1.108445168E1,4.651049078E-1
2.963212570E-1,5.965605736E0,-1.110598755E1,2.641077936E-1
3.062290700E-1,5.939284801E0,-1.064626598E1,3.047857881E-1
3.161368820E-1,5.154139996E0,-9.774979591E0,-2.673979402E-1
3.260446950E-1,3.861417532E0,-8.951250076E0,-9.209375978E-1
3.359525070E-1,2.798406124E0,-8.491529465E0,-1.153340459E0
3.458603200E-1,2.079961061E0,-8.335995674E0,-1.203589797E0
3.557681320E-1,1.654038668E0,-8.259425163E0,-1.452443361E0
3.656759450E-1,1.632503271E0,-8.216354370E0,-1.601097465E0
3.755837570E-1,1.974676847E0,-8.271389961E0,-1.177268744E0
3.854915700E-1,2.379363060E0,-8.400602341E0,-9.233304262E-1
3.953993820E-1,2.489432812E0,-8.549256325E0,-1.019342422E0
4.053071950E-1,2.678465843E0,-8.738288879E0,-7.558328509E-1
4.152150070E-1,3.052045345E0,-8.922536850E0,-4.016951025E-1
4.251228200E-1,3.305983543E0,-9.075976372E0,-4.686941206E-1
4.350306320E-1,3.396910906E0,-9.104690552E0,-5.620142221E-1
4.449384450E-1,3.428017616E0,-9.018249512E0,-3.655036688E-1
4.548462570E-1,3.413660526E0,-8.879466057E0,-4.399802685E-1
4.647540700E-1,3.418446302E0,-8.743074417E0,-8.922237158E-1
4.746618820E-1,3.439981699E0,-8.633005142E0,-1.060020447E0
4.845696950E-1,3.483052492E0,-8.640183449E0,-1.225125194E0
4.944775070E-1,3.509373426E0,-8.709575653E0,-1.904985905E0
5.043853200E-1,3.538087368E0,-8.896215439E0,-2.414956331E0
5.142349550E-1,3.540480137E0,-9.095118523E0,-2.216351986E0
5.239476110E-1,3.317947626E0,-9.162117958E0,-2.070389748E0
5.336611530E-1,3.025724173E0,-9.133403778E0,-2.158924341E0
5.433754240E-1,2.743371248E0,-8.968000412E0,-1.878664851E0
5.530888610E-1,2.475075960E0,-8.740681648E0,-1.433300734E0
5.628015700E-1,2.252543449E0,-8.621041298E0,-1.335195065E0
5.725150070E-1,2.067996979E0,-8.599505424E0,-1.222732425E0
5.822293820E-1,1.926820397E0,-8.688039780E0,-9.161519408E-1
5.919428200E-1,1.929213285E0,-8.834002495E0,-9.352945685E-1
6.016554760E-1,2.108675003E0,-8.989535332E0,-1.287338614E0
6.113690180E-1,2.410469770E0,-9.075976372E0,-1.265803218E0
6.210833400E-1,2.760120869E0,-9.150154114E0,-1.086341500E0
6.307967780E-1,3.126222849E0,-9.310472488E0,-1.158126116E0
6.405094340E-1,3.404089212E0,-9.501898766E0,-9.403793216E-1
6.502229760E-1,3.533301830E0,-9.600004196E0,-2.841476798E-1
6.599372990E-1,3.521337509E0,-9.422935486E0,1.226321608E-1
6.696507360E-1,3.375375509E0,-8.996713638E0,1.633101404E-1
6.793634450E-1,3.387339592E0,-8.582756042E0,4.555336237E-1
6.890768820E-1,3.679263830E0,-8.371888161E0,7.573283911E-1
6.987912570E-1,4.131806374E0,-8.441280365E0,6.804589629E-1
7.085046950E-1,4.598706245E0,-8.633005142E0,6.996015310E-1
7.182174030E-1,5.000999451E0,-8.948857307E0,1.020538807E0
7.279309450E-1,5.414957523E0,-9.611968994E0,1.068395257E0
7.376452150E-1,5.795715332E0,-1.058166027E1,9.678967595E-1
7.473586530E-1,5.908178329E0,-1.133121204E1,1.015753269E0
7.570713610E-1,5.900999546E0,-1.189621735E1,7.163512707E-1
7.667849030E-1,5.860321522E0,-1.239392376E1,4.914259613E-1
7.764991740E-1,5.893821239E0,-1.278664589E1,4.387838542E-1
7.862126110E-1,5.877071381E0,-1.296132183E1,4.124628007E-1
7.959253200E-1,5.618646622E0,-1.277707481E1,3.239283562E-1
8.056388610E-1,4.931607246E0,-1.231017494E1,7.776673418E-3
8.153531320E-1,3.811168194E0,-1.191296673E1,-8.515457511E-1
8.250665700E-1,2.642573595E0,-1.178824043E1,-2.441277266E0
8.347792780E-1,1.771286964E0,-1.168056393E1,-4.677370071E0
8.444928200E-1,1.476670623E0,-1.148913765E1,-6.585646152E0
8.542071430E-1,1.622931957E0,-1.127348518E1,-7.078567505E0
8.639205800E-1,1.871785522E0,-1.104377365E1,-6.300601006E0
8.736332880E-1,2.065604210E0,-1.072762203E1,-4.761118889E0
8.833468300E-1,2.187937260E0,-1.035912704E1,-2.987139940E0
8.930611010E-1,2.298007011E0,-1.007408237E1,-1.280160069E0
9.027745380E-1,2.300399780E0,-9.877870560E0,3.170489892E-2
9.124872470E-1,2.060818434E0,-9.729516029E0,8.027920127E-1
9.222007880E-1,1.697109461E0,-9.650552750E0,1.245464206E0
9.319151110E-1,1.352243900E0,-9.707980156E0,1.401296735E0
9.416285490E-1,1.215852976E0,-9.904191971E0,1.396511078E0
9.513412570E-1,1.206281662E0,-1.018205833E1,1.363011599E0
9.610547990E-1,1.354636669E0,-1.054098225E1,1.204786181E0
9.707690700E-1,1.599003673E0,-1.096720314E1,8.338986635E-1
9.804826110E-1,2.022533417E0,-1.137189007E1,2.090728730E-1
9.901952680E-1,2.405683994E0,-1.163749313E1,-5.859424472E-1
9.999088090E-1,2.453540564E0,-1.170449162E1,-1.354337573E0
1.009623080E0,2.353041887E0,-1.156331539E1,-1.787737608E0
1.019336622E0,2.108675003E0,-1.123041439E1,-1.842772484E0
1.029049278E0,2.106282234E0,-1.072522926E1,-1.357926875E-1
1.038762820E0,1.895713687E0,-1.005494022E1,1.025324464E0
1.048477090E0,1.491027594E0,-9.322437286E0,1.680957973E-1
1.058190632E0,1.474277854E0,-8.666504860E0,-8.276175261E-1
1.067903288E0,1.342672586E0,-8.087141991E0,-2.027019978E0
1.077616830E0,1.438385487E0,-7.648956776E0,-3.195614576E0
1.087331101E0,1.603789330E0,-7.253841877E0,-4.390231133E0
1.097044643E0,1.814357758E0,-7.019345284E0,-4.691727161E0
1.106757299E0,1.864607096E0,-6.983452797E0,-3.810869217E0
1.116470840E0,1.582253933E0,-7.100701332E0,-2.656930447E0
1.126185163E0,1.223031521E0,-7.158128738E0,-1.409372568E0
1.135898601E0,9.020941257E-1,-7.179664135E0,-5.189434290E-1
1.145611309E0,5.000999570E-1,-7.119843960E0,-2.458625287E-1
1.155324851E0,5.551348329E-1,-7.129415035E0,1.037288666E0
1.165039174E0,9.858429432E-1,-7.232306480E0,1.501795292E0
1.174752611E0,9.762716293E-1,-7.249056339E0,1.363011599E0
1.184465320E0,7.728816867E-1,-7.138986588E0,1.037288666E0
1.194178913E0,5.551348329E-1,-6.933203697E0,6.349952817E-1
1.203893184E0,3.705884218E-1,-6.676872253E0,3.047857881E-1
1.213606726E0,2.246262282E-1,-6.358626842E0,-1.615155302E-2
1.223319382E0,2.102692872E-1,-6.178866386E0,-2.195414752E-1
1.233032924E0,2.820539773E-1,-6.245865345E0,-4.280161560E-1
1.242747247E0,4.208376706E-1,-6.456732750E0,-8.443672657E-1
1.252460684E0,6.628118753E-1,-6.760621071E0,-1.500598907E0
1.262173445E0,1.081854939E0,-7.165307522E0,-2.371885538E0
1.271886986E0,1.697109461E0,-7.672884941E0,-3.712464333E0
1.281601257E0,2.345863581E0,-8.362317085E0,-5.560919762E0
1.291314799E0,2.577967405E0,-9.274580956E0,-7.844869137E0
1.301027455E0,2.034497499E0,-1.046441174E1,-1.011685371E1
1.310741049E0,1.290030479E0,-1.204696465E1,-1.183819103E1
1.320455320E0,1.234995604E0,-1.374676609E1,-1.225962639E1
1.330168861E0,2.199901342E0,-1.467577934E1,-1.181186962E1
1.339881518E0,3.277269602E0,-1.396929836E1,-1.077996540E1
1.349595059E0,3.739084482E0,-1.212832069E1,-8.910273552E0
1.359309382E0,3.571586847E0,-1.054816055E1,-6.051747799E0
1.369022820E0,2.958725214E0,-9.523433685E0,-2.676073074E0
1.378735580E0,1.888535261E0,-9.075976372E0,3.888336942E-2
1.388449122E0,6.723831892E-1,-8.946464539E0,1.372582912E0
1.398163445E0,-5.365904570E-1,-9.391828537E0,6.589235067E-1
1.407876986E0,-1.575673699E0,-1.093609715E1,-1.354337573E0
1.417589643E0,-1.601994753E0,-1.294217968E1,-2.345564365E0
1.427303184E0,-6.418746710E-1,-1.463240910E1,-3.013461113E0
1.437017507E0,1.550848126E0,-1.500120354E1,-5.055735111E0
1.446731049E0,2.298007011E0,-1.359123230E1,-7.265506744E0
1.456443705E0,6.460621357E-1,-1.169492054E1,-7.006783009E0
1.466157247E0,-9.053842425E-1,-1.009083176E1,-4.287040710E0
1.475871570E0,-1.410568953E0,-8.790931702E0,-1.610668778E0
1.485585111E0,-5.748756528E-1,-7.680063248E0,-3.777668774E-1
1.495297768E0,2.030908167E-1,-6.648158550E0,2.258226424E-1
1.505011361E0,3.681955934E-1,-6.164509296E0,8.985049129E-1
1.514725632E0,3.107678294E-1,-6.418447495E0,1.042074203E0
1.524439174E0,1.001994461E-1,-7.105486870E0,7.091727853E-1
1.534151830E0,1.193420291E-1,-7.989036560E0,4.435695112E-1
1.543865424E0,4.351946115E-1,-8.934500694E0,3.981058598E-1
